,A,B,Label
2758,>gma-miR10191,>lcl|Gmax_Glyma.08G124700.1,1
2759,>gma-miR394b-3p,>lcl|Gmax_Glyma.15G148400.1,0
2760,>ath-miR8172,>lcl|Athaliana_AT2G12540.1,1
2761,>ath-miR5634,>CNT2088929,0
2762,>mtr-miR2603,>lcl|Mtruncatula_Medtr5g084105.1,1
2763,>mtr-miR5233,>lcl|Mtruncatula_Medtr3g109685.1,0
2764,>gma-miR4993,>lcl|Gmax_Glyma.10G260700.4,1
2765,>gma-miR10428,>lcl|Gmax_Glyma.08G342400.1,0
2766,>ath-miR824-3p,>CNT2085080,1
2767,>ath-miR1886.3,>NONATHT003608,0
2768,>mtr-miR2111g-3p,>lcl|Mtruncatula_Medtr1g016850.1,1
2769,>mtr-miR5245,>lcl|Mtruncatula_Medtr8g095630.2,0
2770,>gma-miR4371b,>lcl|Gmax_Glyma.01G189900.1,1
2771,>gma-miR169n-5p,>lcl|Gmax_Glyma.11G154900.1,0
2772,>ath-miR393a-5p,>lcl|Athaliana_AT2G41312.1,1
2773,>ath-miR5639-3p,>CNT2085767,0
2774,>mtr-miR319b-5p,>lcl|Mtruncatula_Medtr5g011760.1,1
2775,>mtr-miR2592b-3p,>lcl|Mtruncatula_Medtr7g078390.1,0
2776,>gma-miR1511,>lcl|Gmax_Glyma.09G041800.1,1
2777,>gma-miR169c,>lcl|Gmax_Glyma.01G175700.1,0
2778,>ath-miR8181,>lcl|Athaliana_AT1G01448.2,1
2779,>ath-miR5664,>lcl|Athaliana_AT3G09162.1,0
2780,>mtr-miR169j,>lcl|Mtruncatula_Medtr3g105520.1,1
2781,>mtr-miR5299,>lcl|Mtruncatula_Medtr1g107440.6,0
2782,>gma-miR168a,>lcl|Gmax_Glyma.04G210800.1,1
2783,>gma-miR4348a-5p,>lcl|Gmax_Glyma.02G111100.1,0
2784,>ath-miR5020c,>lcl|Athaliana_AT3G09950.1,1
2785,>ath-miR2111a-3p,>lcl|Athaliana_AT1G60150.1,0
2786,>mtr-miR5225a,>lcl|Mtruncatula_Medtr2g451460.1,1
2787,>mtr-miR5272f,>lcl|Mtruncatula_Medtr8g022770.3,0
2788,>gma-miR169u,>lcl|Gmax_Glyma.04G156800.1,1
2789,>gma-miR4383,>lcl|Gmax_Glyma.05G080300.4,0
2790,>ath-miR8181,>CNT2088986,1
2791,>ath-miR170-5p,>CNT2086374,0
2792,>mtr-miR5215,>lcl|Mtruncatula_Medtr2g005625.1,1
2793,>mtr-miR5288,>lcl|Mtruncatula_Medtr2g031430.1,0
2794,>gma-miR4379,>lcl|Gmax_Glyma.06G250700.1,1
2795,>gma-miR9728,>lcl|Gmax_Glyma.01G220500.1,0
2796,>ath-miR390b-3p,>NONATHT001529,1
2797,>ath-miR852,>NONATHT003297,0
2798,>mtr-miR2613,>lcl|Mtruncatula_Medtr6g016010.1,1
2799,>mtr-miR2600b,>lcl|Mtruncatula_Medtr5g015470.1,0
2800,>gma-miR4405,>lcl|Gmax_Glyma.11G164900.1,1
2801,>gma-miR166m,>lcl|Gmax_Glyma.04G179600.1,0
2802,>ath-miR171b-5p,>CNT2088475,1
2803,>ath-miR844-3p,>CNT2085573,0
2804,>mtr-miR5259,>lcl|Mtruncatula_Medtr1g090580.1,1
2805,>mtr-miR2636,>lcl|Mtruncatula_Medtr4g035885.1,0
2806,>gma-miR5774a,>lcl|Gmax_Glyma.11G061100.2,1
2807,>gma-miR5673,>lcl|Gmax_Glyma.16G055000.2,0
2808,>ath-miR167c-5p,>CNT2086624,1
2809,>ath-miR4243,>CNT2088032,0
2810,>mtr-miR168b,>lcl|Mtruncatula_Medtr7g091260.1,1
2811,>mtr-miR2607,>lcl|Mtruncatula_Medtr2g009910.1,0
2812,>gma-miR482e,>lcl|Gmax_Glyma.10G269100.1,1
2813,>gma-miR169t,>lcl|Gmax_Glyma.04G106700.1,0
2814,>ath-miR5638b,>NONATHT000260,1
2815,>ath-miR156g,>NONATHT002293,0
2816,>mtr-miR7700-5p,>lcl|Mtruncatula_Medtr1g091930.1,1
2817,>mtr-miR4414b,>lcl|Mtruncatula_Medtr4g106400.1,0
2818,>gma-miR4415b-5p,>lcl|Gmax_Glyma.14G179400.1,1
2819,>gma-miR482c-3p,>lcl|Gmax_Glyma.16G152000.1,0
2820,>ath-miR8181,>lcl|Athaliana_AT2G41730.1,1
2821,>ath-miR5014a-3p,>CNT2087716,0
2822,>mtr-miR2620,>lcl|Mtruncatula_Medtr7g093150.1,1
2823,>mtr-miR5219,>lcl|Mtruncatula_Medtr2g009910.1,0
2824,>gma-miR5783,>lcl|Gmax_Glyma.08G171200.1,1
2825,>gma-miR9746i,>lcl|Gmax_Glyma.13G132200.1,0
2826,>ath-miR160a-3p,>CNT2085951,1
2827,>ath-miR426,>lcl|Athaliana_AT3G42150.2,0
2828,>mtr-miR5205a,>lcl|Mtruncatula_Medtr8g467960.1,1
2829,>mtr-miR319d-5p,>lcl|Mtruncatula_Medtr4g035885.1,0
2830,>gma-miR10199,>lcl|Gmax_Glyma.19G225200.1,1
2831,>gma-miR2111b,>lcl|Gmax_Glyma.12G162900.1,0
2832,>ath-miR404,>lcl|Athaliana_AT1G50732.1,1
2833,>ath-miR5020c,>CNT2084808,0
2834,>mtr-miR399q,>lcl|Mtruncatula_Medtr7g028945.1,1
2835,>mtr-miR2592bm-5p,>lcl|Mtruncatula_Medtr5g048060.2,0
2836,>gma-miR4357,>lcl|Gmax_Glyma.12G091800.1,1
2837,>gma-miR4399,>lcl|Gmax_Glyma.05G013600.1,0
2838,>ath-miR159c,>lcl|Athaliana_AT3G30712.1,1
2839,>ath-miR855,>CNT2085301,0
2840,>mtr-miR2640,>lcl|Mtruncatula_Medtr5g019100.1,1
2841,>mtr-miR5215,>lcl|Mtruncatula_Medtr6g066100.2,0
2842,>gma-miR10447,>lcl|Gmax_Glyma.11G017400.1,1
2843,>gma-miR1525,>lcl|Gmax_Glyma.18G290700.3,0
2844,>ath-miR5639-5p,>CNT2085441,1
2845,>ath-miR8170-3p,>lcl|Athaliana_AT2G13975.1,0
2846,>mtr-miR2621,>lcl|Mtruncatula_Medtr4g007880.1,1
2847,>mtr-miR5221,>lcl|Mtruncatula_Medtr4g053180.2,0
2848,>gma-miR169i-3p,>lcl|Gmax_Glyma.03G255700.1,1
2849,>gma-miR5370,>lcl|Gmax_Glyma.18G300000.1,0
2850,>ath-miR156b-3p,>CNT2086033,1
2851,>ath-miR846-5p,>NONATHT001987,0
2852,>mtr-miR2668,>lcl|Mtruncatula_Medtr1g069540.1,1
2853,>mtr-miR2603,>lcl|Mtruncatula_Medtr4g072130.1,0
2854,>gma-miR4367,>lcl|Gmax_Glyma.02G248600.1,1
2855,>gma-miR4387e,>lcl|Gmax_Glyma.18G290700.3,0
2856,>ath-miR10515,>NONATHT002528,1
2857,>ath-miR5631,>lcl|Athaliana_AT5G32591.1,0
2858,>mtr-miR5273,>lcl|Mtruncatula_Medtr4g100805.1,1
2859,>mtr-miR5757,>lcl|Mtruncatula_Medtr2g023920.2,0
2860,>gma-miR171k-3p,>lcl|Gmax_Glyma.09G041800.1,1
2861,>gma-miR159e-5p,>lcl|Gmax_Glyma.12G162900.1,0
2862,>ath-miR5662,>NONATHT001463,1
2863,>ath-miR161.1,>CNT2088760,0
2864,>mtr-miR5273,>lcl|Mtruncatula_Medtr3g028450.1,1
2865,>mtr-miR2670f,>lcl|Mtruncatula_Medtr5g015470.1,0
2866,>gma-miR171d,>lcl|Gmax_Glyma.08G125300.1,1
2867,>gma-miR156d,>lcl|Gmax_Glyma.04G113900.1,0
2868,>ath-miR5021,>CNT2086155,1
2869,>ath-miR8178,>CNT2085230,0
2870,>mtr-miR5284a,>lcl|Mtruncatula_Medtr4g134330.1,1
2871,>mtr-miR2633,>lcl|Mtruncatula_Medtr3g050170.1,0
2872,>gma-miR172b-5p,>lcl|Gmax_Glyma.01G018500.1,1
2873,>gma-miR4374a,>lcl|Gmax_Glyma.07G054300.1,0
2874,>ath-miR164a,>NONATHT001810,1
2875,>ath-miR406,>lcl|Athaliana_AT4G18980.1,0
2876,>mtr-miR2111e-3p,>lcl|Mtruncatula_Medtr5g021840.1,1
2877,>mtr-miR399b,>lcl|Mtruncatula_Medtr0016s0040.1,0
2878,>gma-miR4387c,>lcl|Gmax_Glyma.16G170400.1,1
2879,>gma-miR396d,>lcl|Gmax_Glyma.13G202700.1,0
2880,>ath-miR416,>lcl|Athaliana_AT4G27852.1,1
2881,>ath-miR8166,>lcl|Athaliana_AT2G06280.1,0
2882,>mtr-miR5562-3p,>lcl|Mtruncatula_Medtr8g031010.1,1
2883,>mtr-miR2111l,>lcl|Mtruncatula_Medtr7g078390.1,0
2884,>gma-miR5764b,>lcl|Gmax_Glyma.06G293800.1,1
2885,>gma-miR172g,>lcl|Gmax_Glyma.08G330400.1,0
2886,>ath-miR5021,>CNT2085049,1
2887,>ath-miR8174,>lcl|Athaliana_AT1G10657.3,0
2888,>mtr-miR2592bo-5p,>lcl|Mtruncatula_Medtr8g059490.1,1
2889,>mtr-miR2657,>lcl|Mtruncatula_Medtr8g022770.3,0
2890,>gma-miR156d,>lcl|Gmax_Glyma.07G099300.1,1
2891,>gma-miR5676,>lcl|Gmax_Glyma.10G052100.1,0
2892,>ath-miR5630a,>NONATHT000579,1
2893,>ath-miR169g-3p,>lcl|Athaliana_AT4G14615.1,0
2894,>mtr-miR7700-5p,>lcl|Mtruncatula_Medtr7g074390.1,1
2895,>mtr-miR399r,>lcl|Mtruncatula_Medtr4g106400.1,0
2896,>gma-miR10438,>lcl|Gmax_Glyma.09G115400.1,1
2897,>gma-miR1510a-3p,>lcl|Gmax_Glyma.05G099800.2,0
2898,>ath-miR5657,>CNT2088255,1
2899,>ath-miR8174,>NONATHT003310,0
2900,>mtr-miR5209,>lcl|Mtruncatula_Medtr6g059790.1,1
2901,>mtr-miR2662,>lcl|Mtruncatula_Medtr4g115740.6,0
2902,>gma-miR172h-5p,>lcl|Gmax_Glyma.13G319200.3,1
2903,>gma-miR4341,>lcl|Gmax_Glyma.10G242900.1,0
2904,>ath-miR8168,>CNT2087083,1
2905,>ath-miR5024-5p,>lcl|Athaliana_AT5G32037.1,0
2906,>mtr-miR396a-3p,>lcl|Mtruncatula_Medtr8g028375.1,1
2907,>mtr-miR5758,>lcl|Mtruncatula_Medtr1g086180.1,0
2908,>gma-miR164a,>lcl|Gmax_Glyma.06G228200.1,1
2909,>gma-miR1510b-3p,>lcl|Gmax_Glyma.01G175700.6,0
2910,>ath-miR164c-3p,>CNT2085887,1
2911,>ath-miR415,>CNT2087416,0
2912,>mtr-miR399d,>lcl|Mtruncatula_Medtr4g015745.1,1
2913,>mtr-miR5759,>lcl|Mtruncatula_Medtr7g078390.1,0
2914,>gma-miR408a-3p,>lcl|Gmax_Glyma.19G130300.1,1
2915,>gma-miR4398,>lcl|Gmax_Glyma.05G080300.4,0
2916,>ath-miR399f,>lcl|Athaliana_AT1G53687.1,1
2917,>ath-miR852,>CNT2087144,0
2918,>mtr-miR2629h,>lcl|Mtruncatula_Medtr7g024990.1,1
2919,>mtr-miR395g,>lcl|Mtruncatula_Medtr4g053180.2,0
2920,>gma-miR164b,>lcl|Gmax_Glyma.16G124800.1,1
2921,>gma-miR4374a,>lcl|Gmax_Glyma.01G175700.1,0
2922,>ath-miR167c-3p,>CNT2085273,1
2923,>ath-miR5019,>lcl|Athaliana_AT5G10695.1,0
2924,>mtr-miR7700-5p,>lcl|Mtruncatula_Medtr1g060080.1,1
2925,>mtr-miR5563-5p,>lcl|Mtruncatula_Medtr0016s0040.1,0
2926,>gma-miR390b-5p,>lcl|Gmax_Glyma.03G009300.1,1
2927,>gma-miR10187,>lcl|Gmax_Glyma.11G154900.1,0
2928,>ath-miR5659,>CNT2088270,1
2929,>ath-miR420,>NONATHT002612,0
2930,>mtr-miR5259,>lcl|Mtruncatula_Medtr6g092850.1,1
2931,>mtr-miR7696d-5p,>lcl|Mtruncatula_Medtr4g106400.1,0
2932,>gma-miR1507c-3p,>lcl|Gmax_Glyma.04G210800.1,1
2933,>gma-miR4356,>lcl|Gmax_Glyma.12G173100.1,0
2934,>ath-miR5648-3p,>lcl|Athaliana_AT2G39500.1,1
2935,>ath-miR869.2,>CNT2085531,0
2936,>mtr-miR2617a,>lcl|Mtruncatula_Medtr3g011180.1,1
2937,>mtr-miR5284h,>lcl|Mtruncatula_Medtr1g107440.5,0
2938,>gma-miR156b,>lcl|Gmax_Glyma.12G238300.1,1
2939,>gma-miR159d,>lcl|Gmax_Glyma.19G045000.1,0
2940,>ath-miR156d-3p,>CNT2087576,1
2941,>ath-miR4243,>NONATHT000859,0
2942,>mtr-miR2670f,>lcl|Mtruncatula_Medtr6g022030.1,1
2943,>mtr-miR2089-3p,>lcl|Mtruncatula_Medtr8g074520.1,0
2944,>gma-miR482b-5p,>lcl|Gmax_Glyma.05G067900.1,1
2945,>gma-miR4352a,>lcl|Gmax_Glyma.U034900.1,0
2946,>ath-miR319a,>CNT2088320,1
2947,>ath-miR848,>lcl|Athaliana_AT5G07322.1,0
2948,>mtr-miR482-5p,>lcl|Mtruncatula_Medtr3g067515.1,1
2949,>mtr-miR171f,>lcl|Mtruncatula_Medtr4g006610.1,0
2950,>gma-miR5044,>lcl|Gmax_Glyma.02G124200.1,1
2951,>gma-miR10422,>lcl|Gmax_Glyma.08G036200.1,0
2952,>ath-miR8168,>CNT2084895,1
2953,>ath-miR403-3p,>CNT2085711,0
2954,>mtr-miR5232,>lcl|Mtruncatula_Medtr4g054405.1,1
2955,>mtr-miR2088-5p,>lcl|Mtruncatula_Medtr4g053180.2,0
2956,>gma-miR169d,>lcl|Gmax_Glyma.19G246900.1,1
2957,>gma-miR10188,>lcl|Gmax_Glyma.10G242900.1,0
2958,>ath-miR173-5p,>CNT2086361,1
2959,>ath-miR822-3p,>NONATHT003670,0
2960,>mtr-miR2586b,>lcl|Mtruncatula_Medtr7g102300.1,1
2961,>mtr-miR156g-3p,>lcl|Mtruncatula_Medtr5g015470.1,0
2962,>gma-miR169p,>lcl|Gmax_Glyma.15G032200.2,1
2963,>gma-miR2606a,>lcl|Gmax_Glyma.01G083400.3,0
2964,>ath-miR8165,>lcl|Athaliana_AT1G15900.1,1
2965,>ath-miR161.1,>CNT2085104,0
2966,>mtr-miR5233,>lcl|Mtruncatula_Medtr4g119110.1,1
2967,>mtr-miR7696a-3p,>lcl|Mtruncatula_Medtr1g086180.2,0
2968,>gma-miR4375,>lcl|Gmax_Glyma.02G119200.2,1
2969,>gma-miR396i-3p,>lcl|Gmax_Glyma.01G175700.10,0
2970,>ath-miR166a-5p,>lcl|Athaliana_AT1G70949.1,1
2971,>ath-miR2939,>CNT2086438,0
2972,>mtr-miR166c,>lcl|Mtruncatula_Medtr2g073150.1,1
2973,>mtr-miR2606a,>lcl|Mtruncatula_Medtr1g086180.2,0
2974,>gma-miR5776,>lcl|Gmax_Glyma.18G270300.1,1
2975,>gma-miR4381,>lcl|Gmax_Glyma.01G175700.5,0
2976,>ath-miR319c,>CNT2088320,1
2977,>ath-miR5631,>CNT2088174,0
2978,>mtr-miR5270a,>lcl|Mtruncatula_Medtr5g085313.1,1
2979,>mtr-miR2643b-5p,>lcl|Mtruncatula_Medtr2g009910.2,0
2980,>gma-miR169b,>lcl|Gmax_Glyma.19G246900.1,1
2981,>gma-miR4416c-3p,>lcl|Gmax_Glyma.18G018700.1,0
2982,>ath-miR8171,>lcl|Athaliana_AT2G35612.1,1
2983,>ath-miR319a,>lcl|Athaliana_AT4G32924.1,0
2984,>mtr-miR160c,>lcl|Mtruncatula_Medtr8g079570.1,1
2985,>mtr-miR399k,>lcl|Mtruncatula_Medtr0101s0020.4,0
2986,>gma-miR159b-3p,>lcl|Gmax_Glyma.02G099600.2,1
2987,>gma-miR5369,>lcl|Gmax_Glyma.13G202700.1,0
2988,>ath-miR8181,>CNT2088688,1
2989,>ath-miR849,>CNT2086947,0
2990,>mtr-miR5249,>lcl|Mtruncatula_Medtr6g465030.1,1
2991,>mtr-miR168a,>lcl|Mtruncatula_Medtr5g084410.2,0
2992,>gma-miR5786,>lcl|Gmax_Glyma.13G132200.2,1
2993,>gma-miR169o,>lcl|Gmax_Glyma.04G237800.1,0
2994,>ath-miR5660,>lcl|Athaliana_AT5G60945.1,1
2995,>ath-miR8178,>lcl|Athaliana_AT4G07526.2,0
2996,>mtr-miR2599,>lcl|Mtruncatula_Medtr6g037030.1,1
2997,>mtr-miR2119,>lcl|Mtruncatula_Medtr6g007970.1,0
2998,>gma-miR4404,>lcl|Gmax_Glyma.15G218000.5,1
2999,>gma-miR5671b,>lcl|Gmax_Glyma.16G002000.1,0
3000,>ath-miR5646,>CNT2084971,1
3001,>ath-miR5655,>CNT2087138,0
3002,>mtr-miR5554a-3p,>lcl|Mtruncatula_Medtr3g467470.1,1
3003,>mtr-miR7699-5p,>lcl|Mtruncatula_Medtr4g053180.2,0
3004,>gma-miR5043,>lcl|Gmax_Glyma.06G057600.1,1
3005,>gma-miR4374c,>lcl|Gmax_Glyma.19G157900.1,0
3006,>ath-miR8171,>CNT2087301,1
3007,>ath-miR4245,>CNT2086235,0
3008,>mtr-miR395k,>lcl|Mtruncatula_Medtr3g061400.1,1
3009,>mtr-miR5263,>lcl|Mtruncatula_Medtr1g095390.2,0
3010,>gma-miR5036,>lcl|Gmax_Glyma.10G260700.3,1
3011,>gma-miR169s-3p,>lcl|Gmax_Glyma.15G168400.1,0
3012,>ath-miR167a-5p,>CNT2088186,1
3013,>ath-miR399f,>lcl|Athaliana_AT5G35698.1,0
3014,>mtr-miR5296,>lcl|Mtruncatula_Medtr2g012430.2,1
3015,>mtr-miR2670f,>lcl|Mtruncatula_Medtr7g096640.2,0
3016,>gma-miR482b-3p,>lcl|Gmax_Glyma.01G152800.1,1
3017,>gma-miR10405a,>lcl|Gmax_Glyma.01G175700.10,0
3018,>ath-miR854a,>CNT2087070,1
3019,>ath-miR830-3p,>CNT2088191,0
3020,>mtr-miR2602a,>lcl|Mtruncatula_Medtr1g046760.1,1
3021,>mtr-miR2631,>lcl|Mtruncatula_Medtr0101s0020.3,0
3022,>gma-miR4993,>lcl|Gmax_Glyma.04G169100.1,1
3023,>gma-miR4387d,>lcl|Gmax_Glyma.01G175700.7,0
3024,>ath-miR163,>CNT2084891,1
3025,>ath-miR825,>CNT2086896,0
3026,>mtr-miR5279,>lcl|Mtruncatula_Medtr2g438200.1,1
3027,>mtr-miR2610a,>lcl|Mtruncatula_Medtr2g019360.1,0
3028,>gma-miR4379,>lcl|Gmax_Glyma.16G198100.1,1
3029,>gma-miR2119,>lcl|Gmax_Glyma.02G087300.1,0
3030,>ath-miR169f-3p,>CNT2086300,1
3031,>ath-miR5017-3p,>CNT2085671,0
3032,>mtr-miR166e-5p,>lcl|Mtruncatula_Medtr6g091850.1,1
3033,>mtr-miR5561-5p,>lcl|Mtruncatula_Medtr7g111640.3,0
3034,>gma-miR4412-3p,>lcl|Gmax_Glyma.02G193500.1,1
3035,>gma-miR1510a-5p,>lcl|Gmax_Glyma.10G289300.1,0
3036,>ath-miR4228-3p,>CNT2086140,1
3037,>ath-miR827,>CNT2088072,0
3038,>mtr-miR2630a,>lcl|Mtruncatula_Medtr1g053785.1,1
3039,>mtr-miR1509b,>lcl|Mtruncatula_Medtr0105s0070.1,0
3040,>gma-miR172g,>lcl|Gmax_Glyma.01G189900.1,1
3041,>gma-miR4397-3p,>lcl|Gmax_Glyma.05G080300.2,0
3042,>ath-miR398b-3p,>CNT2087158,1
3043,>ath-miR5595a,>CNT2086998,0
3044,>mtr-miR168b,>lcl|Mtruncatula_Medtr1g051945.1,1
3045,>mtr-miR5281b,>lcl|Mtruncatula_Medtr4g049300.2,0
3046,>gma-miR4995,>lcl|Gmax_Glyma.19G034400.1,1
3047,>gma-miR171b-3p,>lcl|Gmax_Glyma.16G020900.1,0
3048,>ath-miR8181,>lcl|Athaliana_AT5G14105.1,1
3049,>ath-miR5017-3p,>CNT2085779,0
3050,>mtr-miR159a,>lcl|Mtruncatula_Medtr7g026750.1,1
3051,>mtr-miR169a,>lcl|Mtruncatula_Medtr0101s0020.2,0
3052,>gma-miR166m,>lcl|Gmax_Glyma.02G140300.1,1
3053,>gma-miR10423,>lcl|Gmax_Glyma.07G094000.1,0
3054,>ath-miR414,>lcl|Athaliana_AT5G53486.3,1
3055,>ath-miR5649a,>lcl|Athaliana_AT2G03080.1,0
3056,>mtr-miR5254,>lcl|Mtruncatula_Medtr8g106990.1,1
3057,>mtr-miR5239,>lcl|Mtruncatula_Medtr2g023920.2,0
3058,>gma-miR9748,>lcl|Gmax_Glyma.01G118700.1,1
3059,>gma-miR166h-3p,>lcl|Gmax_Glyma.13G195500.1,0
3060,>ath-miR4228-3p,>CNT2085106,1
3061,>ath-miR849,>CNT2087249,0
3062,>mtr-miR4414b,>lcl|Mtruncatula_Medtr3g074420.1,1
3063,>mtr-miR172d-3p,>lcl|Mtruncatula_Medtr2g019360.1,0
3064,>gma-miR482b-5p,>lcl|Gmax_Glyma.07G182500.1,1
3065,>gma-miR4354,>lcl|Gmax_Glyma.16G020900.1,0
3066,>ath-miR845a,>CNT2087113,1
3067,>ath-miR161.2,>CNT2087319,0
3068,>mtr-miR5276,>lcl|Mtruncatula_Medtr1g046300.1,1
3069,>mtr-miR5556-3p,>lcl|Mtruncatula_Medtr0016s0040.1,0
3070,>gma-miR9763,>lcl|Gmax_Glyma.07G052000.1,1
3071,>gma-miR10420,>lcl|Gmax_Glyma.12G082900.1,0
3072,>ath-miR3440b-5p,>CNT2088505,1
3073,>ath-miR426,>CNT2088685,0
3074,>mtr-miR2673a,>lcl|Mtruncatula_Medtr3g011275.1,1
3075,>mtr-miR7696c-5p,>lcl|Mtruncatula_Medtr4g059760.1,0
3076,>gma-miR319a,>lcl|Gmax_Glyma.05G056200.1,1
3077,>gma-miR159e-5p,>lcl|Gmax_Glyma.02G106000.7,0
3078,>ath-miR8171,>CNT2088578,1
3079,>ath-miR865-5p,>CNT2084917,0
3080,>mtr-miR319b-5p,>lcl|Mtruncatula_Medtr2g014370.3,1
3081,>mtr-miR5228,>lcl|Mtruncatula_Medtr6g066100.2,0
3082,>gma-miR394b-3p,>lcl|Gmax_Glyma.06G188200.1,1
3083,>gma-miR4405b,>lcl|Gmax_Glyma.03G005100.1,0
3084,>ath-miR166a-5p,>CNT2087299,1
3085,>ath-miR867,>lcl|Athaliana_AT2G47200.1,0
3086,>mtr-miR5213-3p,>lcl|Mtruncatula_Medtr0888s0020.1,1
3087,>mtr-miR1509b,>lcl|Mtruncatula_Medtr0152s0100.1,0
3088,>gma-miR169n-3p,>lcl|Gmax_Glyma.04G188300.1,1
3089,>gma-miR399a,>lcl|Gmax_Glyma.13G202700.1,0
3090,>ath-miR419,>CNT2087107,1
3091,>ath-miR857,>CNT2085557,0
3092,>mtr-miR164a,>lcl|Mtruncatula_Medtr3g098900.1,1
3093,>mtr-miR2086-5p,>lcl|Mtruncatula_Medtr7g111640.2,0
3094,>gma-miR4351,>lcl|Gmax_Glyma.13G230000.1,1
3095,>gma-miR10199,>lcl|Gmax_Glyma.07G197400.1,0
3096,>ath-miR5638b,>lcl|Athaliana_AT3G56390.1,1
3097,>ath-miR5631,>CNT2088091,0
3098,>mtr-miR2089-3p,>lcl|Mtruncatula_Medtr2g075405.1,1
3099,>mtr-miR5206a,>lcl|Mtruncatula_Medtr0016s0040.1,0
3100,>gma-miR4412-5p,>lcl|Gmax_Glyma.01G092500.1,1
3101,>gma-miR5776,>lcl|Gmax_Glyma.13G132200.1,0
3102,>ath-miR4228-3p,>CNT2085069,1
3103,>ath-miR406,>CNT2087360,0
3104,>mtr-miR169g,>lcl|Mtruncatula_Medtr4g070305.1,1
3105,>mtr-miR2592bm-5p,>lcl|Mtruncatula_Medtr1g054150.1,0
3106,>gma-miR171e,>lcl|Gmax_Glyma.10G260300.1,1
3107,>gma-miR5784,>lcl|Gmax_Glyma.19G197400.1,0
3108,>ath-miR8171,>lcl|Athaliana_AT3G21352.1,1
3109,>ath-miR4243,>lcl|Athaliana_AT3G61930.1,0
3110,>mtr-miR1507-3p,>lcl|Mtruncatula_Medtr4g107690.1,1
3111,>mtr-miR2118,>lcl|Mtruncatula_Medtr1g086180.2,0
3112,>gma-miR5779,>lcl|Gmax_Glyma.03G172000.1,1
3113,>gma-miR169s-3p,>lcl|Gmax_Glyma.12G224100.1,0
3114,>ath-miR159b-3p,>NONATHT000854,1
3115,>ath-miR864-5p,>At4-1,0
3116,>mtr-miR2617a,>lcl|Mtruncatula_Medtr5g046460.1,1
3117,>mtr-miR162,>lcl|Mtruncatula_Medtr1g107440.6,0
3118,>gma-miR398c,>lcl|Gmax_Glyma.18G174300.1,1
3119,>gma-miR171b-5p,>lcl|Gmax_Glyma.16G002000.1,0
3120,>ath-miR773a,>lcl|Athaliana_AT2G19320.1,1
3121,>ath-miR164c-3p,>CNT2084887,0
3122,>mtr-miR5563-5p,>lcl|Mtruncatula_Medtr8g105565.1,1
3123,>mtr-miR399a,>lcl|Mtruncatula_Medtr2g031430.1,0
3124,>gma-miR5673,>lcl|Gmax_Glyma.19G045300.1,1
3125,>gma-miR171j-5p,>lcl|Gmax_Glyma.01G133700.1,0
3126,>ath-miR167a-5p,>CNT2085854,1
3127,>ath-miR160a-5p,>NONATHT003367,0
3128,>mtr-miR5275,>lcl|Mtruncatula_Medtr0633s0010.1,1
3129,>mtr-miR5286a,>lcl|Mtruncatula_Medtr0101s0020.4,0
3130,>gma-miR408a-3p,>lcl|Gmax_Glyma.10G205700.1,1
3131,>gma-miR10409,>lcl|Gmax_Glyma.20G134300.1,0
3132,>ath-miR5018,>CNT2087421,1
3133,>ath-miR319a,>CNT2086649,0
3134,>mtr-miR169k,>lcl|Mtruncatula_Medtr5g008670.1,1
3135,>mtr-miR171f,>lcl|Mtruncatula_Medtr2g009910.1,0
3136,>gma-miR482b-3p,>lcl|Gmax_Glyma.06G098400.1,1
3137,>gma-miR396d,>lcl|Gmax_Glyma.05G099800.2,0
3138,>ath-miR172b-5p,>CNT2087774,1
3139,>ath-miR4239,>CNT2088397,0
3140,>mtr-miR399t-5p,>lcl|Mtruncatula_Medtr7g033705.1,1
3141,>mtr-miR5230,>lcl|Mtruncatula_Medtr4g053180.2,0
3142,>gma-miR1535b,>lcl|Gmax_Glyma.19G202100.1,1
3143,>gma-miR5042-3p,>lcl|Gmax_Glyma.01G122600.1,0
3144,>ath-miR396a-5p,>lcl|Athaliana_AT1G10800.1,1
3145,>ath-miR862-5p,>CNT2088648,0
3146,>mtr-miR169c,>lcl|Mtruncatula_Medtr4g011980.1,1
3147,>mtr-miR5267a,>lcl|Mtruncatula_Medtr7g111640.3,0
3148,>gma-miR169t,>lcl|Gmax_Glyma.08G254700.1,1
3149,>gma-miR10416,>lcl|Gmax_Glyma.01G175700.6,0
3150,>ath-miR8181,>CNT2087475,1
3151,>ath-miR5018,>CNT2086084,0
3152,>mtr-miR156b-5p,>lcl|Mtruncatula_Medtr7g075545.1,1
3153,>mtr-miR5269b,>lcl|Mtruncatula_Medtr7g096640.2,0
3154,>gma-miR160a-5p,>lcl|Gmax_Glyma.20G130500.9,1
3155,>gma-miR5667-5p,>lcl|Gmax_Glyma.04G113900.1,0
3156,>ath-miR396b-5p,>NONATHT000712,1
3157,>ath-miR861-3p,>CNT2088040,0
3158,>mtr-miR2673a,>lcl|Mtruncatula_Medtr3g108510.1,1
3159,>mtr-miR159a,>lcl|Mtruncatula_Medtr8g074520.1,0
3160,>gma-miR1511,>lcl|Gmax_Glyma.17G207300.1,1
3161,>gma-miR169w,>lcl|Gmax_Glyma.16G020900.3,0
3162,>ath-miR774a,>CNT2087519,1
