,A,B,A_seq,B_seq,Label,pair_seq
3227,>hsa-miR-125b-5p,>ENST00000553985.1,,,1,
3228,>hsa-miR-26a-5p,>ENST00000556475.1,,,0,
3229,>hsa-miR-761,>ENST00000438002.1,,,0,
3230,>hsa-miR-218-5p,>ENST00000561226.5,,,1,
3231,>hsa-miR-15b-5p,>ENST00000442293.5,,,0,
3232,>hsa-miR-370-3p,>ENST00000569835.1,,,1,
3233,>hsa-miR-4500,>ENST00000412749.1,,,1,
3234,>hsa-miR-15b-5p,>ENST00000456352.2,,,1,
3235,>hsa-miR-425-5p,>ENST00000588027.5,,,1,
3236,>hsa-miR-200c-3p,>ENST00000502789.2,,,0,
3237,>hsa-miR-92b-3p,>ENST00000595135.5,,,0,
3238,>hsa-miR-125b-5p,>ENST00000451424.1,,,0,
3239,>hsa-miR-106a-5p,>ENST00000512213.5,,,0,
3240,>hsa-miR-193a-3p,>ENST00000501173.6,,,1,
3241,>hsa-miR-370-3p,>ENST00000445450.1,,,0,
3242,>hsa-miR-133b,>ENST00000446578.1,,,0,
3243,>hsa-miR-141-3p,>ENST00000440001.2,,,1,
3244,>hsa-miR-185-5p,>ENST00000418149.1,,,1,
3245,>hsa-miR-875-5p,>ENST00000456746.5,,,0,
3246,>hsa-miR-29a-3p,>ENST00000553463.1,,,0,
3247,>hsa-miR-214-3p,>ENST00000597578.1,,,1,
3248,>hsa-miR-4465,>ENST00000582324.5,,,0,
3249,>hsa-miR-382-5p,>ENST00000557660.5,,,1,
3250,>hsa-miR-150-5p,>ENST00000453722.6,,,1,
3251,>hsa-miR-17-5p,>ENST00000565959.1,,,1,
3252,>hsa-miR-424-5p,>ENST00000451027.5,,,1,
3253,>hsa-miR-18b-5p,>ENST00000449351.5,,,0,
3254,>hsa-miR-27a-3p,>ENST00000450843.5,,,1,
3255,>hsa-miR-4295,>ENST00000450713.1,,,1,
3256,>hsa-miR-27a-3p,>ENST00000458228.5,,,1,
3257,>hsa-miR-520a-3p,>ENST00000586974.5,,,1,
3258,>hsa-miR-328-3p,>ENST00000540865.5,,,1,
3259,>hsa-miR-16-5p,>ENST00000442383.1,,,0,
3260,>hsa-miR-449a,>ENST00000414075.5,,,0,
3261,>hsa-miR-4458,>ENST00000418430.1,,,1,
3262,>hsa-miR-34c-5p,>ENST00000416099.1,,,1,
3263,>hsa-miR-204-5p,>ENST00000436290.2,,,0,
3264,>hsa-miR-181d-5p,>ENST00000596050.5,,,1,
3265,>hsa-miR-182-5p,>ENST00000440150.5,,,1,
3266,>hsa-miR-9-5p,>ENST00000423402.5,,,1,
3267,>hsa-miR-505-3p,>ENST00000415236.1,,,1,
3268,>hsa-miR-539-5p,>ENST00000505240.5,,,0,
3269,>hsa-miR-29c-3p,>ENST00000580500.5,,,1,
3270,>hsa-miR-874-3p,>ENST00000421206.1,,,0,
3271,>hsa-miR-491-5p,>ENST00000466576.2,,,0,
3272,>hsa-miR-3118,>ENST00000582866.1,,,1,
3273,>hsa-miR-195-5p,>ENST00000554323.1,,,1,
3274,>hsa-miR-4429,>ENST00000453554.1,,,0,
3275,>hsa-miR-153-3p,>ENST00000602587.5,,,1,
3276,>hsa-miR-338-3p,>ENST00000597578.1,,,1,
3277,>hsa-miR-24-3p,>ENST00000382265.3,,,0,
3278,>hsa-miR-92b-3p,>ENST00000561226.5,,,1,
3279,>hsa-miR-20b-5p,>ENST00000566583.5,,,1,
3280,>hsa-miR-544a,>ENST00000602458.1,,,0,
3281,>hsa-miR-135a-5p,>ENST00000504769.5,,,1,
3282,>hsa-miR-302c-3p,>ENST00000433317.1,,,0,
3283,>hsa-miR-372-3p,>ENST00000456161.5,,,0,
3284,>hsa-miR-205-5p,>ENST00000589187.5,,,1,
3285,>hsa-miR-128-3p,>ENST00000422008.5,,,1,
3286,>hsa-miR-543,>ENST00000416999.1,,,1,
3287,>hsa-miR-17-5p,>ENST00000446880.5,,,0,
3288,>hsa-miR-340-5p,>ENST00000599146.5,,,1,
3289,>hsa-miR-4644,>ENST00000524947.1,,,0,
3290,>hsa-miR-302d-3p,>ENST00000561622.1,,,0,
3291,>hsa-miR-29a-3p,>ENST00000628924.1,,,1,
3292,>hsa-miR-320b,>ENST00000547799.5,,,0,
3293,>hsa-miR-424-5p,>ENST00000426529.6,,,1,
3294,>hsa-miR-365a-3p,>ENST00000566942.1,,,0,
3295,>hsa-miR-497-5p,>ENST00000421599.5,,,0,
3296,>hsa-miR-15b-5p,>ENST00000427447.5,,,1,
3297,>hsa-miR-23c,>ENST00000586974.5,,,1,
3298,>hsa-miR-106b-5p,>ENST00000416381.1,,,0,
3299,>hsa-miR-135b-5p,>ENST00000427794.1,,,1,
3300,>hsa-miR-130b-3p,>ENST00000419695.1,,,0,
3301,>hsa-miR-873-5p,>ENST00000421068.5,,,1,
3302,>hsa-miR-186-5p,>ENST00000439494.1,,,0,
3303,>hsa-miR-23c,>ENST00000585030.5,,,0,
3304,>hsa-miR-155-5p,>ENST00000422740.1,,,0,
3305,>hsa-miR-29a-3p,>ENST00000533232.5,,,0,
3306,>hsa-miR-494-3p,>ENST00000595997.5,,,0,
3307,>hsa-miR-455-5p,>ENST00000588803.1,,,0,
3308,>hsa-miR-199a-5p,>ENST00000571975.1,,,1,
3309,>hsa-miR-302b-3p,>ENST00000505215.1,,,0,
3310,>hsa-miR-181a-5p,>ENST00000602587.5,,,1,
3311,>hsa-miR-18b-5p,>ENST00000565416.1,,,1,
3312,>hsa-miR-155-5p,>ENST00000417083.1,,,0,
3313,>hsa-miR-494-3p,>ENST00000580902.5,,,1,
3314,>hsa-miR-200a-3p,>ENST00000456352.2,,,1,
3315,>hsa-miR-17-5p,>ENST00000440438.6,,,0,
3316,>hsa-miR-146b-5p,>ENST00000448049.1,,,0,
3317,>hsa-miR-181d-5p,>ENST00000424208.5,,,1,
3318,>hsa-miR-191-5p,>ENST00000448049.1,,,0,
3319,>hsa-miR-223-3p,>ENST00000594358.5,,,1,
3320,>hsa-miR-22-3p,>ENST00000559366.1,,,0,
3321,>hsa-miR-19a-3p,>ENST00000425884.5,,,1,
3322,>hsa-miR-25-3p,>ENST00000602587.5,,,1,
3323,>hsa-miR-363-3p,>ENST00000478925.5,,,0,
3324,>hsa-miR-216b-5p,>ENST00000597488.1,,,0,
3325,>hsa-miR-449b-5p,>ENST00000566942.1,,,1,
3326,>hsa-miR-9-5p,>ENST00000439050.1,,,0,
3327,>hsa-miR-302d-3p,>ENST00000400282.6,,,1,
3328,>hsa-miR-223-3p,>ENST00000502433.5,,,0,
3329,>hsa-miR-103a-3p,>ENST00000589234.5,,,1,
3330,>hsa-miR-23b-3p,>ENST00000506314.1,,,0,
3331,>hsa-miR-125a-3p,>ENST00000505731.5,,,0,
3332,>hsa-miR-758-3p,>ENST00000520068.5,,,0,
3333,>hsa-miR-17-5p,>ENST00000526795.1,,,0,
3334,>hsa-miR-130b-3p,>ENST00000422761.1,,,1,
3335,>hsa-miR-10b-5p,>ENST00000503704.1,,,0,
3336,>hsa-miR-383-5p,>ENST00000537869.5,,,1,
3337,>hsa-miR-449a,>ENST00000504748.1,,,1,
3338,>hsa-miR-150-5p,>ENST00000452429.5,,,1,
3339,>hsa-miR-130a-3p,>ENST00000579580.1,,,1,
3340,>hsa-miR-30a-5p,>ENST00000527483.5,,,1,
3341,>hsa-miR-181d-5p,>ENST00000598754.1,,,1,
3342,>hsa-miR-197-3p,>ENST00000492250.5,,,1,
3343,>hsa-miR-193b-3p,>ENST00000411861.5,,,1,
3344,>hsa-miR-1297,>ENST00000411721.1,,,0,
3345,>hsa-miR-302d-3p,>ENST00000527067.1,,,0,
3346,>hsa-miR-374a-5p,>ENST00000580979.1,,,1,
3347,>hsa-miR-873-5p,>ENST00000431268.5,,,1,
3348,>hsa-miR-29a-3p,>ENST00000582733.5,,,1,
3349,>hsa-miR-34c-5p,>ENST00000438597.1,,,0,
3350,>hsa-miR-328-3p,>ENST00000505364.1,,,0,
3351,>hsa-miR-196a-5p,>ENST00000437681.1,,,1,
3352,>hsa-miR-324-5p,>ENST00000520432.1,,,1,
3353,>hsa-miR-34a-5p,>ENST00000595422.1,,,0,
3354,>hsa-miR-181d-5p,>ENST00000595673.1,,,1,
3355,>hsa-miR-30b-5p,>ENST00000596088.5,,,1,
3356,>hsa-miR-28-5p,>ENST00000527620.5,,,1,
3357,>hsa-miR-302c-3p,>ENST00000556225.1,,,0,
3358,>hsa-miR-15b-5p,>ENST00000586831.5,,,1,
3359,>hsa-miR-126-3p,>ENST00000429456.1,,,0,
3360,>hsa-miR-17-5p,>ENST00000630598.1,,,1,
3361,>hsa-miR-197-3p,>ENST00000474814.1,,,1,
3362,>hsa-miR-381-3p,>ENST00000382313.2,,,0,
3363,>hsa-miR-372-3p,>ENST00000398804.7,,,0,
3364,>hsa-miR-145-5p,>ENST00000444482.1,,,1,
3365,>hsa-miR-485-5p,>ENST00000430643.1,,,0,
3366,>hsa-miR-374b-5p,>ENST00000588784.1,,,0,
3367,>hsa-miR-378f,>ENST00000523859.1,,,0,
3368,>hsa-miR-23c,>ENST00000465215.1,,,0,
3369,>hsa-miR-182-5p,>ENST00000456876.1,,,1,
3370,>hsa-miR-15b-5p,>ENST00000593653.1,,,0,
3371,>hsa-miR-4735-3p,>ENST00000429159.6,,,0,
3372,>hsa-miR-320c,>ENST00000582145.5,,,1,
3373,>hsa-miR-329-3p,>ENST00000592347.5,,,0,
3374,>hsa-miR-195-5p,>ENST00000444126.5,,,1,
3375,>hsa-miR-18a-5p,>ENST00000565416.1,,,1,
3376,>hsa-miR-193b-3p,>ENST00000449573.5,,,1,
3377,>hsa-miR-181a-5p,>ENST00000501194.2,,,0,
3378,>hsa-miR-372-3p,>ENST00000448136.5,,,1,
3379,>hsa-miR-93-5p,>ENST00000521600.5,,,1,
3380,>hsa-miR-32-5p,>ENST00000428818.5,,,0,
3381,>hsa-miR-4262,>ENST00000524947.1,,,0,
3382,>hsa-miR-20b-5p,>ENST00000507999.5,,,0,
3383,>hsa-miR-301a-3p,>ENST00000414894.1,,,1,
3384,>hsa-miR-194-5p,>ENST00000444998.1,,,1,
3385,>hsa-miR-101-3p,>ENST00000457636.5,,,1,
3386,>hsa-miR-539-5p,>ENST00000588150.5,,,1,
3387,>hsa-miR-520d-3p,>ENST00000519043.5,,,0,
3388,>hsa-miR-216a-5p,>ENST00000440698.1,,,0,
3389,>hsa-miR-15b-5p,>ENST00000524190.1,,,0,
3390,>hsa-miR-330-5p,>ENST00000585625.5,,,0,
3391,>hsa-miR-653-5p,>ENST00000588798.1,,,1,
3392,>hsa-miR-15b-5p,>ENST00000573860.1,,,0,
3393,>hsa-miR-384,>ENST00000577055.5,,,1,
3394,>hsa-miR-34c-5p,>ENST00000411429.5,,,1,
3395,>hsa-miR-520a-3p,>ENST00000432294.1,,,0,
3396,>hsa-miR-34c-5p,>ENST00000588798.1,,,0,
3397,>hsa-miR-362-3p,>ENST00000561344.5,,,0,
3398,>hsa-miR-346,>ENST00000455838.5,,,1,
3399,>hsa-miR-4262,>ENST00000424208.5,,,1,
3400,>hsa-miR-214-3p,>ENST00000417897.1,,,1,
3401,>hsa-miR-491-5p,>ENST00000382313.2,,,0,
3402,>hsa-miR-30e-5p,>ENST00000521863.1,,,0,
3403,>hsa-miR-199a-5p,>ENST00000588318.1,,,1,
3404,>hsa-miR-302c-3p,>ENST00000505877.5,,,1,
3405,>hsa-miR-497-5p,>ENST00000415536.5,,,1,
3406,>hsa-miR-544a,>ENST00000521951.1,,,1,
3407,>hsa-miR-20b-5p,>ENST00000432818.5,,,0,
3408,>hsa-miR-145-5p,>ENST00000415215.1,,,1,
3409,>hsa-miR-363-3p,>ENST00000512067.5,,,1,
3410,>hsa-miR-23c,>ENST00000454813.1,,,1,
3411,>hsa-miR-496,>ENST00000444958.1,,,1,
3412,>hsa-miR-338-3p,>ENST00000449111.5,,,1,
3413,>hsa-miR-181a-5p,>ENST00000597745.5,,,1,
3414,>hsa-miR-372-3p,>ENST00000596259.3,,,0,
3415,>hsa-miR-196b-5p,>ENST00000561344.5,,,0,
3416,>hsa-miR-132-3p,>ENST00000577297.5,,,1,
3417,>hsa-miR-302d-3p,>ENST00000431813.1,,,0,
3418,>hsa-miR-146b-5p,>ENST00000563105.1,,,0,
3419,>hsa-miR-324-5p,>ENST00000602587.5,,,1,
3420,>hsa-miR-122-5p,>ENST00000602172.1,,,0,
3421,>hsa-miR-216a-5p,>ENST00000561275.5,,,1,
3422,>hsa-miR-34c-5p,>ENST00000415499.5,,,0,
3423,>hsa-miR-32-5p,>ENST00000561746.1,,,0,
3424,>hsa-miR-211-5p,>ENST00000423255.5,,,1,
3425,>hsa-miR-449b-5p,>ENST00000600047.1,,,1,
3426,>hsa-miR-302d-3p,>ENST00000511052.1,,,1,
3427,>hsa-miR-99b-5p,>ENST00000568314.1,,,1,
3428,>hsa-miR-107,>ENST00000389897.3,,,0,
3429,>hsa-miR-103a-3p,>ENST00000463143.5,,,1,
3430,>hsa-miR-199a-5p,>ENST00000505537.1,,,1,
3431,>hsa-miR-200c-3p,>ENST00000566583.5,,,0,
3432,>hsa-miR-519d-3p,>ENST00000616030.4,,,0,
3433,>hsa-miR-454-3p,>ENST00000424518.5,,,1,
3434,>hsa-miR-224-5p,>ENST00000427868.6,,,1,
3435,>hsa-miR-4295,>ENST00000452429.5,,,0,
3436,>hsa-miR-374b-5p,>ENST00000558831.5,,,0,
3437,>hsa-miR-519d-3p,>ENST00000565256.1,,,1,
3438,>hsa-miR-138-5p,>ENST00000313807.4,,,0,
3439,>hsa-miR-16-5p,>ENST00000595747.5,,,1,
3440,>hsa-miR-17-5p,>ENST00000536029.1,,,0,
3441,>hsa-miR-455-5p,>ENST00000425771.5,,,1,
3442,>hsa-miR-379-5p,>ENST00000593427.1,,,1,
3443,>hsa-miR-411-5p,>ENST00000506014.5,,,1,
3444,>hsa-miR-155-5p,>ENST00000602498.1,,,1,
3445,>hsa-miR-4262,>ENST00000488745.5,,,1,
3446,>hsa-miR-125b-5p,>ENST00000557568.1,,,1,
3447,>hsa-miR-425-5p,>ENST00000591223.5,,,1,
3448,>hsa-miR-302b-3p,>ENST00000522132.1,,,1,
3449,>hsa-miR-15b-5p,>ENST00000505028.5,,,0,
3450,>hsa-miR-93-5p,>ENST00000513868.6,,,1,
3451,>hsa-miR-520a-3p,>ENST00000630598.1,,,1,
3452,>hsa-miR-182-5p,>ENST00000545688.5,,,1,
3453,>hsa-miR-4262,>ENST00000528156.1,,,0,
3454,>hsa-miR-19a-3p,>ENST00000503452.5,,,0,
3455,>hsa-miR-424-5p,>ENST00000589355.1,,,1,
3456,>hsa-miR-4644,>ENST00000414393.5,,,1,
3457,>hsa-miR-299-3p,>ENST00000446578.1,,,1,
3458,>hsa-miR-520a-3p,>ENST00000523364.1,,,1,
3459,>hsa-miR-4735-3p,>ENST00000427447.5,,,0,
3460,>hsa-miR-23b-3p,>ENST00000421019.1,,,0,
3461,>hsa-miR-128-3p,>ENST00000458220.1,,,1,
3462,>hsa-miR-196b-5p,>ENST00000527641.1,,,0,
3463,>hsa-miR-23c,>ENST00000434796.5,,,1,
3464,>hsa-miR-22-3p,>ENST00000517675.1,,,0,
3465,>hsa-miR-505-3p,>ENST00000432988.1,,,0,
3466,>hsa-miR-424-5p,>ENST00000431616.5,,,0,
3467,>hsa-miR-93-5p,>ENST00000508590.1,,,1,
3468,>hsa-miR-34c-5p,>ENST00000512287.1,,,1,
3469,>hsa-miR-34c-5p,>ENST00000439321.1,,,0,
3470,>hsa-miR-543,>ENST00000585451.5,,,0,
3471,>hsa-miR-196a-5p,>ENST00000422207.5,,,1,
3472,>hsa-miR-154-5p,>ENST00000421599.5,,,1,
3473,>hsa-miR-326,>ENST00000465215.1,,,0,
3474,>hsa-miR-383-5p,>ENST00000455777.1,,,1,
3475,>hsa-miR-185-5p,>ENST00000476405.1,,,1,
3476,>hsa-miR-497-5p,>ENST00000439559.2,,,0,
3477,>hsa-miR-23b-3p,>ENST00000432988.1,,,0,
3478,>hsa-miR-433-3p,>ENST00000454068.5,,,1,
3479,>hsa-miR-30e-5p,>ENST00000589451.1,,,1,
3480,>hsa-miR-25-3p,>ENST00000553149.1,,,1,
3481,>hsa-miR-30e-5p,>ENST00000582838.1,,,0,
3482,>hsa-miR-499a-5p,>ENST00000484550.1,,,0,
3483,>hsa-miR-106b-5p,>ENST00000508968.1,,,1,
3484,>hsa-miR-328-3p,>ENST00000431669.5,,,0,
3485,>hsa-miR-1297,>ENST00000442040.5,,,0,
3486,>hsa-miR-17-5p,>ENST00000518088.5,,,1,
3487,>hsa-miR-4465,>ENST00000443284.1,,,0,
3488,>hsa-miR-378i,>ENST00000560706.5,,,1,
3489,>hsa-miR-497-5p,>ENST00000602516.1,,,1,
3490,>hsa-miR-454-3p,>ENST00000600155.1,,,0,
3491,>hsa-miR-324-5p,>ENST00000562298.1,,,1,
3492,>hsa-miR-92a-3p,>ENST00000509723.1,,,0,
3493,>hsa-miR-539-5p,>ENST00000413791.5,,,1,
3494,>hsa-miR-296-3p,>ENST00000429781.1,,,0,
3495,>hsa-miR-221-3p,>ENST00000484550.1,,,0,
3496,>hsa-miR-34a-5p,>ENST00000366234.7,,,1,
3497,>hsa-miR-15a-5p,>ENST00000532226.1,,,1,
3498,>hsa-miR-155-5p,>ENST00000527627.5,,,0,
3499,>hsa-miR-29c-3p,>ENST00000584372.5,,,1,
3500,>hsa-miR-302d-3p,>ENST00000522132.1,,,1,
3501,>hsa-miR-130a-3p,>ENST00000586922.2,,,0,
3502,>hsa-miR-222-3p,>ENST00000437232.5,,,0,
3503,>hsa-miR-30e-5p,>ENST00000437232.5,,,0,
3504,>hsa-miR-205-5p,>ENST00000511998.1,,,0,
3505,>hsa-miR-28-5p,>ENST00000499583.1,,,0,
3506,>hsa-miR-29b-3p,>ENST00000584372.5,,,1,
3507,>hsa-miR-411-5p,>ENST00000509161.1,,,0,
3508,>hsa-miR-23c,>ENST00000594818.1,,,0,
3509,>hsa-miR-302d-3p,>ENST00000518947.6,,,0,
3510,>hsa-miR-9-5p,>ENST00000527067.1,,,1,
3511,>hsa-miR-302d-3p,>ENST00000500036.2,,,0,
3512,>hsa-miR-107,>ENST00000439298.5,,,0,
3513,>hsa-miR-103a-3p,>ENST00000452514.6,,,0,
3514,>hsa-miR-103a-3p,>ENST00000592836.5,,,1,
3515,>hsa-miR-138-5p,>ENST00000421927.1,,,1,
3516,>hsa-miR-449a,>ENST00000565959.1,,,0,
3517,>hsa-miR-153-3p,>ENST00000562049.1,,,0,
3518,>hsa-miR-29b-3p,>ENST00000453722.6,,,1,
3519,>hsa-miR-130a-3p,>ENST00000425005.5,,,1,
3520,>hsa-miR-4458,>ENST00000573414.1,,,0,
3521,>hsa-miR-197-3p,>ENST00000499217.6,,,1,
3522,>hsa-miR-148b-3p,>ENST00000527641.1,,,0,
3523,>hsa-miR-330-5p,>ENST00000521708.1,,,0,
3524,>hsa-miR-302a-3p,>ENST00000588612.5,,,1,
3525,>hsa-miR-615-3p,>ENST00000421733.1,,,1,
3526,>hsa-miR-455-5p,>ENST00000577267.1,,,0,
3527,>hsa-miR-33b-5p,>ENST00000499653.1,,,0,
3528,>hsa-miR-32-5p,>ENST00000417942.5,,,1,
3529,>hsa-miR-17-5p,>ENST00000601494.1,,,0,
3530,>hsa-miR-424-5p,>ENST00000454613.1,,,0,
3531,>hsa-miR-18b-5p,>ENST00000623522.1,,,0,
3532,>hsa-miR-372-3p,>ENST00000562983.1,,,1,
3533,>hsa-miR-200c-3p,>ENST00000554086.1,,,0,
3534,>hsa-miR-361-5p,>ENST00000454968.5,,,1,
3535,>hsa-miR-16-5p,>ENST00000573860.1,,,0,
3536,>hsa-miR-302a-3p,>ENST00000562952.1,,,0,
3537,>hsa-miR-98-5p,>ENST00000553985.1,,,0,
3538,>hsa-miR-761,>ENST00000449111.5,,,1,
3539,>hsa-miR-302d-3p,>ENST00000522193.1,,,1,
3540,>hsa-miR-30a-5p,>ENST00000553584.5,,,0,
3541,>hsa-miR-16-5p,>ENST00000530846.1,,,1,
3542,>hsa-miR-3666,>ENST00000558025.1,,,0,
3543,>hsa-miR-32-5p,>ENST00000602587.5,,,1,
3544,>hsa-miR-410-3p,>ENST00000561275.5,,,1,
3545,>hsa-miR-20a-5p,>ENST00000524048.1,,,1,
3546,>hsa-miR-376a-3p,>ENST00000438095.1,,,1,
3547,>hsa-miR-340-5p,>ENST00000444489.5,,,0,
3548,>hsa-miR-495-3p,>ENST00000413606.5,,,1,
3549,>hsa-miR-26b-5p,>ENST00000604956.1,,,0,
3550,>hsa-miR-195-5p,>ENST00000521147.1,,,1,
3551,>hsa-miR-27b-3p,>ENST00000555070.1,,,0,
3552,>hsa-miR-320d,>ENST00000417705.1,,,1,
3553,>hsa-miR-599,>ENST00000520068.5,,,0,
3554,>hsa-miR-195-5p,>ENST00000560461.1,,,1,
3555,>hsa-miR-98-5p,>ENST00000529811.5,,,1,
3556,>hsa-miR-10a-5p,>ENST00000596223.5,,,1,
3557,>hsa-miR-16-5p,>ENST00000580623.1,,,1,
3558,>hsa-miR-340-5p,>ENST00000594230.1,,,1,
3559,>hsa-miR-206,>ENST00000446578.1,,,0,
3560,>hsa-miR-429,>ENST00000533232.5,,,0,
3561,>hsa-miR-3139,>ENST00000561226.5,,,1,
3562,>hsa-miR-19b-3p,>ENST00000546798.5,,,1,
3563,>hsa-miR-3167,>ENST00000421927.1,,,1,
3564,>hsa-miR-4770,>ENST00000420074.1,,,1,
3565,>hsa-miR-301a-3p,>ENST00000414894.1,,,1,
3566,>hsa-miR-222-3p,>ENST00000453875.5,,,1,
3567,>hsa-miR-302a-3p,>ENST00000412162.1,,,1,
3568,>hsa-miR-16-5p,>ENST00000582838.1,,,1,
3569,>hsa-miR-3666,>ENST00000429892.5,,,1,
3570,>hsa-miR-122-5p,>ENST00000432502.1,,,0,
3571,>hsa-miR-376b-3p,>ENST00000602575.1,,,0,
3572,>hsa-miR-153-3p,>ENST00000594562.1,,,0,
3573,>hsa-miR-23a-3p,>ENST00000418062.1,,,0,
3574,>hsa-miR-4644,>ENST00000521609.5,,,1,
3575,>hsa-miR-378f,>ENST00000602458.1,,,0,
3576,>hsa-miR-378b,>ENST00000593977.1,,,0,
3577,>hsa-miR-195-5p,>ENST00000434796.5,,,0,
3578,>hsa-miR-15b-5p,>ENST00000594562.1,,,0,
3579,>hsa-miR-497-5p,>ENST00000590369.1,,,1,
3580,>hsa-miR-429,>ENST00000558945.5,,,1,
3581,>hsa-miR-106a-5p,>ENST00000478824.1,,,1,
3582,>hsa-miR-454-3p,>ENST00000414075.5,,,0,
3583,>hsa-miR-17-5p,>ENST00000528466.1,,,0,
3584,>hsa-miR-449a,>ENST00000573414.1,,,0,
3585,>hsa-miR-383-5p,>ENST00000537925.5,,,1,
3586,>hsa-miR-29b-3p,>ENST00000561226.5,,,1,
3587,>hsa-miR-148a-3p,>ENST00000599728.5,,,1,
3588,>hsa-miR-653-5p,>ENST00000443993.1,,,0,
3589,>hsa-miR-302e,>ENST00000594752.5,,,0,
3590,>hsa-miR-139-5p,>ENST00000578746.1,,,1,
3591,>hsa-miR-106a-5p,>ENST00000592161.1,,,0,
3592,>hsa-miR-195-5p,>ENST00000521034.1,,,0,
3593,>hsa-miR-373-3p,>ENST00000581398.1,,,0,
3594,>hsa-miR-874-3p,>ENST00000427447.5,,,0,
3595,>hsa-miR-4295,>ENST00000561191.1,,,0,
3596,>hsa-miR-497-5p,>ENST00000501396.5,,,0,
3597,>hsa-miR-378d,>ENST00000561275.5,,,1,
3598,>hsa-miR-372-3p,>ENST00000432294.1,,,0,
3599,>hsa-miR-23c,>ENST00000587397.5,,,1,
3600,>hsa-miR-23a-3p,>ENST00000596366.1,,,0,
3601,>hsa-miR-449a,>ENST00000377680.3,,,0,
3602,>hsa-miR-181d-5p,>ENST00000579024.5,,,1,
3603,>hsa-miR-15a-5p,>ENST00000590522.1,,,0,
3604,>hsa-miR-199b-5p,>ENST00000588784.1,,,1,
3605,>hsa-miR-3167,>ENST00000454068.5,,,1,
3606,>hsa-miR-15b-5p,>ENST00000588798.1,,,0,
3607,>hsa-miR-302e,>ENST00000580902.5,,,0,
3608,>hsa-miR-23c,>ENST00000565266.1,,,0,
3609,>hsa-miR-135b-5p,>ENST00000396588.6,,,0,
3610,>hsa-miR-372-3p,>ENST00000534006.1,,,0,
3611,>hsa-miR-125b-5p,>ENST00000546512.5,,,1,
3612,>hsa-miR-216b-5p,>ENST00000439725.5,,,1,
3613,>hsa-miR-449a,>ENST00000509760.1,,,0,
3614,>hsa-miR-485-5p,>ENST00000412749.1,,,1,
3615,>hsa-miR-520d-3p,>ENST00000627197.1,,,1,
3616,>hsa-miR-23b-3p,>ENST00000422207.5,,,1,
3617,>hsa-miR-338-3p,>ENST00000503709.1,,,0,
3618,>hsa-miR-421,>ENST00000537869.5,,,1,
3619,>hsa-miR-429,>ENST00000563103.1,,,0,
3620,>hsa-miR-19b-3p,>ENST00000438608.5,,,0,
3621,>hsa-miR-4465,>ENST00000480904.2,,,1,
3622,>hsa-miR-3167,>ENST00000546793.1,,,0,
3623,>hsa-miR-539-5p,>ENST00000456104.5,,,1,
3624,>hsa-miR-15b-5p,>ENST00000502125.6,,,0,
3625,>hsa-miR-129-5p,>ENST00000417032.1,,,1,
3626,>hsa-miR-302d-3p,>ENST00000518088.5,,,1,
3627,>hsa-miR-20a-5p,>ENST00000499583.1,,,1,
3628,>hsa-miR-378h,>ENST00000602516.1,,,1,
3629,>hsa-miR-30e-5p,>ENST00000484285.2,,,0,
3630,>hsa-miR-543,>ENST00000417942.5,,,1,
3631,>hsa-miR-455-5p,>ENST00000561275.5,,,1,
3632,>hsa-miR-300,>ENST00000589907.5,,,0,
3633,>hsa-miR-200a-3p,>ENST00000578757.5,,,1,
3634,>hsa-miR-302e,>ENST00000505196.1,,,1,
3635,>hsa-miR-23b-3p,>ENST00000500036.2,,,0,
3636,>hsa-miR-142-3p,>ENST00000521034.1,,,0,
3637,>hsa-miR-103a-3p,>ENST00000469846.2,,,0,
3638,>hsa-miR-372-3p,>ENST00000563434.1,,,0,
3639,>hsa-miR-199b-5p,>ENST00000421255.5,,,0,
3640,>hsa-miR-374b-5p,>ENST00000504280.1,,,0,
3641,>hsa-miR-25-3p,>ENST00000521267.5,,,0,
3642,>hsa-miR-429,>ENST00000413069.5,,,0,
3643,>hsa-miR-214-3p,>ENST00000420424.1,,,1,
3644,>hsa-miR-302d-3p,>ENST00000586974.5,,,1,
3645,>hsa-miR-3619-5p,>ENST00000580623.1,,,1,
3646,>hsa-miR-93-5p,>ENST00000521242.1,,,0,
3647,>hsa-miR-520d-3p,>ENST00000565069.5,,,0,
3648,>hsa-miR-23b-3p,>ENST00000421927.1,,,1,
3649,>hsa-miR-373-3p,>ENST00000579383.5,,,0,
3650,>hsa-miR-211-5p,>ENST00000565069.5,,,0,
3651,>hsa-miR-382-5p,>ENST00000587944.5,,,0,
3652,>hsa-miR-125a-3p,>ENST00000549329.5,,,1,
3653,>hsa-miR-30e-5p,>ENST00000519861.1,,,0,
3654,>hsa-miR-148b-3p,>ENST00000535614.5,,,1,
3655,>hsa-miR-383-5p,>ENST00000442293.5,,,0,
3656,>hsa-miR-497-5p,>ENST00000420472.1,,,1,
3657,>hsa-miR-340-5p,>ENST00000571975.1,,,1,
3658,>hsa-miR-186-5p,>ENST00000594950.5,,,0,
3659,>hsa-miR-300,>ENST00000561622.1,,,1,
3660,>hsa-miR-200a-3p,>ENST00000532226.1,,,1,
3661,>hsa-miR-424-5p,>ENST00000444966.1,,,1,
3662,>hsa-miR-520a-3p,>ENST00000420651.2,,,0,
