A,B,Label
gma-miR164a,lcl_Gmax_Glyma.20G055000.1,1
gma-miR10412,lcl_Gmax_Glyma.13G195500.1,0
ath-miR5660,lcl_Athaliana_AT5G46120.1,1
ath-miR780.1,NONATHT001378,0
mtr-miR169k,lcl_Mtruncatula_Medtr8g088440.1,1
mtr-miR5276,lcl_Mtruncatula_Medtr4g106400.1,0
gma-miR1507c-5p,lcl_Gmax_Glyma.04G127200.1,1
gma-miR5775,lcl_Gmax_Glyma.08G328700.1,0
ath-miR5638b,lcl_Athaliana_AT5G18255.2,1
ath-miR860,lcl_Athaliana_AT3G45250.1,0
mtr-miR5275,lcl_Mtruncatula_Medtr8g093950.1,1
mtr-miR2086-5p,lcl_Mtruncatula_Medtr6g007970.1,0
gma-miR862a,lcl_Gmax_Glyma.15G246600.1,1
gma-miR4387e,lcl_Gmax_Glyma.01G175700.6,0
ath-miR472-3p,CNT2085318,1
ath-miR5664,lcl_Athaliana_AT1G27695.2,0
mtr-miR2616,lcl_Mtruncatula_Medtr8g066972.1,1
mtr-miR2592ap,lcl_Mtruncatula_Medtr4g049300.2,0
gma-miR166h-3p,lcl_Gmax_Glyma.09G078000.1,1
gma-miR5031,lcl_Gmax_Glyma.16G055000.2,0
ath-miR841b-3p,CNT2088642,1
ath-miR1886.3,NONATHT002659,0
mtr-miR2640,lcl_Mtruncatula_Medtr4g025380.1,1
mtr-miR2678,lcl_Mtruncatula_Medtr8g074520.1,0
gma-miR5772,lcl_Gmax_Glyma.01G069600.1,1
gma-miR166p,lcl_Gmax_Glyma.19G197400.1,0
ath-miR5029,lcl_Athaliana_AT3G29140.1,1
ath-miR855,lcl_Athaliana_AT4G06637.1,0
mtr-miR2624,lcl_Mtruncatula_Medtr5g043080.1,1
mtr-miR7698-3p,lcl_Mtruncatula_Medtr4g035885.1,0
gma-miR169e,lcl_Gmax_Glyma.12G007200.1,1
gma-miR10434,lcl_Gmax_Glyma.19G038200.1,0
ath-miR472-3p,CNT2085766,1
ath-miR426,NONATHT002019,0
mtr-miR5284h,lcl_Mtruncatula_Medtr3g027780.1,1
mtr-miR5741a,lcl_Mtruncatula_Medtr4g072130.1,0
gma-miR5044,lcl_Gmax_Glyma.05G105400.1,1
gma-miR4342,lcl_Gmax_Glyma.07G054300.1,0
ath-miR170-3p,CNT2086458,1
ath-miR4240,NONATHT003664,0
mtr-miR5265,lcl_Mtruncatula_Medtr6g082270.1,1
mtr-miR5246,lcl_Mtruncatula_Medtr2g009910.2,0
gma-miR5777,lcl_Gmax_Glyma.09G068300.1,1
gma-miR482b-3p,lcl_Gmax_Glyma.16G199800.1,0
ath-miR8168,CNT2085368,1
ath-miR5637,CNT2085629,0
mtr-miR156i-3p,lcl_Mtruncatula_Medtr8g006920.1,1
mtr-miR2657,lcl_Mtruncatula_Medtr2g019360.1,0
gma-miR4398,lcl_Gmax_Glyma.14G184800.2,1
gma-miR10414,lcl_Gmax_Glyma.13G132200.1,0
ath-miR157a-3p,lcl_Athaliana_AT1G40071.1,1
ath-miR406,CNT2087334,0
mtr-miR172a,lcl_Mtruncatula_Medtr4g126290.1,1
mtr-miR156j,lcl_Mtruncatula_Medtr3g466420.1,0
gma-miR5036,lcl_Gmax_Glyma.13G011600.1,1
gma-miR10433,lcl_Gmax_Glyma.08G330400.1,0
ath-miR395b,CNT2086923,1
ath-miR5017-3p,lcl_Athaliana_AT3G55910.1,0
mtr-miR169k,lcl_Mtruncatula_Medtr4g039400.1,1
mtr-miR2643b-5p,lcl_Mtruncatula_Medtr1g107440.2,0
gma-miR166h-3p,lcl_Gmax_Glyma.05G099400.1,1
gma-miR1533,lcl_Gmax_Glyma.10G052100.1,0
ath-miR156d-3p,CNT2085401,1
ath-miR5664,NONATHT001214,0
mtr-miR5291a,lcl_Mtruncatula_Medtr6g465940.1,1
mtr-miR2601,lcl_Mtruncatula_Medtr4g043720.3,0
gma-miR9740,lcl_Gmax_Glyma.17G244700.1,1
gma-miR5672,lcl_Gmax_Glyma.19G157900.1,0
ath-miR158a-5p,CNT2088100,1
ath-miR829-5p,CNT2085212,0
mtr-miR2667a,lcl_Mtruncatula_Medtr7g118070.1,1
mtr-miR169k,lcl_Mtruncatula_Medtr8g051620.3,0
gma-miR10191,lcl_Gmax_Glyma.10G244700.1,1
gma-miR9765,lcl_Gmax_Glyma.17G142500.4,0
ath-miR156c-3p,CNT2087956,1
ath-miR870-5p,CNT2089088,0
mtr-miR2119,lcl_Mtruncatula_Medtr7g081590.1,1
mtr-miR5273,lcl_Mtruncatula_Medtr5g084410.3,0
gma-miR10435,lcl_Gmax_Glyma.07G245200.1,1
gma-miR10420,lcl_Gmax_Glyma.11G157900.1,0
ath-miR168a-3p,CNT2087263,1
ath-miR5017-3p,CNT2087078,0
mtr-miR2668,lcl_Mtruncatula_Medtr4g091420.1,1
mtr-miR171c,lcl_Mtruncatula_Medtr0101s0020.2,0
gma-miR171e,lcl_Gmax_Glyma.06G287900.1,1
gma-miR169j-5p,lcl_Gmax_Glyma.05G064400.3,0
ath-miR8173,CNT2088524,1
ath-miR5021,CNT2088528,0
mtr-miR408-3p,lcl_Mtruncatula_Medtr8g479300.1,1
mtr-miR5750,lcl_Mtruncatula_Medtr8g051620.3,0
gma-miR5036,lcl_Gmax_Glyma.08G045600.1,1
gma-miR159e-5p,lcl_Gmax_Glyma.10G289300.1,0
ath-miR838,lcl_Athaliana_AT1G19397.1,1
ath-miR863-5p,CNT2088751,0
mtr-miR2086-5p,lcl_Mtruncatula_Medtr1g089745.1,1
mtr-miR5269b,lcl_Mtruncatula_Medtr3g053460.2,0
gma-miR4993,lcl_Gmax_Glyma.14G135200.1,1
gma-miR1508a,lcl_Gmax_Glyma.01G175700.4,0
ath-miR5636,lcl_Athaliana_AT4G22233.1,1
ath-miR827,NONATHT000794,0
mtr-miR395k,lcl_Mtruncatula_Medtr1g115930.1,1
mtr-miR2111d-3p,lcl_Mtruncatula_Medtr5g081650.3,0
gma-miR156q,lcl_Gmax_Glyma.07G053800.1,1
gma-miR4370,lcl_Gmax_Glyma.06G207900.2,0
ath-miR842,lcl_Athaliana_AT5G29036.1,1
ath-miR859,CNT2086334,0
mtr-miR169k,lcl_Mtruncatula_Medtr2g095340.1,1
mtr-miR156d-3p,lcl_Mtruncatula_Medtr4g049300.2,0
gma-miR171e,lcl_Gmax_Glyma.01G013700.1,1
gma-miR9748,lcl_Gmax_Glyma.02G111100.1,0
ath-miR5016,CNT2086033,1
ath-miR403-5p,CNT2088166,0
mtr-miR164d,lcl_Mtruncatula_Medtr4g015165.1,1
mtr-miR5760,lcl_Mtruncatula_Medtr0101s0020.3,0
gma-miR399a,lcl_Gmax_Glyma.02G188800.1,1
gma-miR1521b,lcl_Gmax_Glyma.01G175700.3,0
ath-miR8176,lcl_Athaliana_AT4G33660.1,1
ath-miR5024-5p,NONATHT000119,0
mtr-miR2594,lcl_Mtruncatula_Medtr1g035840.1,1
mtr-miR156g-5p,lcl_Mtruncatula_Medtr6g066100.2,0
gma-miR9744,lcl_Gmax_Glyma.04G042800.1,1
gma-miR4401b,lcl_Gmax_Glyma.18G300000.1,0
ath-miR8181,CNT2085360,1
ath-miR447a-3p,CNT2085182,0
mtr-miR2629h,lcl_Mtruncatula_Medtr2g090355.2,1
mtr-miR408-5p,lcl_Mtruncatula_Medtr7g090430.1,0
gma-miR4992,lcl_Gmax_Glyma.09G280000.1,1
gma-miR10421,lcl_Gmax_Glyma.01G175700.11,0
ath-miR851-5p,lcl_Athaliana_AT1G64561.1,1
ath-miR778,NONATHT003087,0
mtr-miR2111m-3p,lcl_Mtruncatula_Medtr7g052340.1,1
mtr-miR2598,lcl_Mtruncatula_Medtr6g007970.1,0
gma-miR169c,lcl_Gmax_Glyma.19G246900.1,1
gma-miR4396,lcl_Gmax_Glyma.13G315600.1,0
ath-miR169d,lcl_Athaliana_AT3G57958.1,1
ath-miR3440b-3p,NONATHT000491,0
mtr-miR5284b,lcl_Mtruncatula_Medtr1g058760.1,1
mtr-miR156d-3p,lcl_Mtruncatula_Medtr5g084410.2,0
gma-miR4348d,lcl_Gmax_Glyma.10G051700.1,1
gma-miR1520f-5p,lcl_Gmax_Glyma.04G179600.1,0
ath-miR164a,CNT2087936,1
ath-miR1886.3,lcl_Athaliana_AT3G32962.1,0
mtr-miR2631,lcl_Mtruncatula_Medtr3g452080.1,1
mtr-miR393a,lcl_Mtruncatula_Medtr0101s0020.3,0
gma-miR1507c-5p,lcl_Gmax_Glyma.14G155400.5,1
gma-miR5371-3p,lcl_Gmax_Glyma.19G114700.1,0
ath-miR824-3p,CNT2088497,1
ath-miR5022,lcl_Athaliana_AT1G53980.1,0
mtr-miR5276,lcl_Mtruncatula_Medtr2g036410.1,1
mtr-miR2667a,lcl_Mtruncatula_Medtr3g466420.1,0
gma-miR408d,lcl_Gmax_Glyma.14G163200.1,1
gma-miR4412-5p,lcl_Gmax_Glyma.08G202400.1,0
ath-miR5021,CNT2088269,1
ath-miR5650,CNT2086622,0
mtr-miR2603,lcl_Mtruncatula_Medtr8g032470.1,1
mtr-miR2634,lcl_Mtruncatula_Medtr1g054150.1,0
gma-miR408d,lcl_Gmax_Glyma.04G019300.1,1
gma-miR5765,lcl_Gmax_Glyma.03G143300.1,0
ath-miR171a-3p,lcl_Athaliana_AT3G48205.1,1
ath-miR774b-3p,CNT2085319,0
mtr-miR168a,lcl_Mtruncatula_Medtr6g065425.1,1
mtr-miR7698-3p,lcl_Mtruncatula_Medtr7g111640.3,0
gma-miR5032,lcl_Gmax_Glyma.09G069200.1,1
gma-miR10436,lcl_Gmax_Glyma.12G162900.1,0
ath-miR447c-3p,CNT2086344,1
ath-miR418,CNT2087030,0
mtr-miR5753,lcl_Mtruncatula_Medtr5g015780.1,1
mtr-miR172d-3p,lcl_Mtruncatula_Medtr4g115740.7,0
gma-miR482b-3p,lcl_Gmax_Glyma.02G265000.1,1
gma-miR159a-5p,lcl_Gmax_Glyma.15G180100.1,0
ath-miR397a,NONATHT003189,1
ath-miR164a,CNT2085395,0
mtr-miR5247,lcl_Mtruncatula_Medtr3g069890.1,1
mtr-miR7696c-3p,lcl_Mtruncatula_Medtr8g022410.1,0
gma-miR169a,lcl_Gmax_Glyma.09G143400.1,1
gma-miR319h,lcl_Gmax_Glyma.13G372800.2,0
ath-miR842,NONATHT003344,1
ath-miR5650,NONATHT001393,0
mtr-miR319b-5p,lcl_Mtruncatula_Medtr7g103580.1,1
mtr-miR2592a-5p,lcl_Mtruncatula_Medtr1g107440.5,0
gma-miR5043,lcl_Gmax_Glyma.20G079800.1,1
gma-miR10193e,lcl_Gmax_Glyma.13G029100.1,0
ath-miR5016,lcl_Athaliana_AT5G15990.1,1
ath-miR829-3p.2,NONATHT000555,0
mtr-miR399s-5p,lcl_Mtruncatula_Medtr8g469560.1,1
mtr-miR5279,lcl_Mtruncatula_Medtr4g053180.2,0
gma-miR396b-3p,lcl_Gmax_Glyma.05G099400.1,1
gma-miR396j,lcl_Gmax_Glyma.07G197400.1,0
ath-miR854a,lcl_Athaliana_AT5G53486.3,1
ath-miR4227,lcl_Athaliana_AT5G18245.1,0
mtr-miR5298d,lcl_Mtruncatula_Medtr1g016850.1,1
mtr-miR2587a,lcl_Mtruncatula_Medtr5g081650.3,0
gma-miR4993,lcl_Gmax_Glyma.10G260700.3,1
gma-miR1446,lcl_Gmax_Glyma.02G184400.1,0
ath-miR8171,NONATHT001518,1
ath-miR393b-3p,NONATHT001332,0
mtr-miR396b-5p,lcl_Mtruncatula_Medtr1g069280.1,1
mtr-miR166d,lcl_Mtruncatula_Medtr5g015470.1,0
gma-miR4408,lcl_Gmax_Glyma.13G141300.1,1
gma-miR9746a,lcl_Gmax_Glyma.20G169700.1,0
ath-miR319a,NONATHT002911,1
ath-miR393a-5p,lcl_Athaliana_AT5G10278.1,0
mtr-miR399c,lcl_Mtruncatula_Medtr0091s0070.1,1
mtr-miR2602a,lcl_Mtruncatula_Medtr5g081650.3,0
gma-miR2109-5p,lcl_Gmax_Glyma.04G244800.1,1
gma-miR1516c,lcl_Gmax_Glyma.01G083400.3,0
ath-miR4228-5p,lcl_Athaliana_AT1G53610.1,1
ath-miR5024-5p,lcl_Athaliana_AT5G35800.1,0
mtr-miR408-3p,lcl_Mtruncatula_Medtr3g117570.1,1
mtr-miR2654,lcl_Mtruncatula_Medtr7g078390.1,0
gma-miR4407,lcl_Gmax_Glyma.05G216200.1,1
gma-miR10419,lcl_Gmax_Glyma.04G014200.1,0
ath-miR169b-5p,CNT2086043,1
ath-miR5999,lcl_Athaliana_AT2G02205.1,0
mtr-miR2592bo-5p,lcl_Mtruncatula_Medtr3g052200.1,1
mtr-miR482-3p,lcl_Mtruncatula_Medtr2g105230.5,0
gma-miR169o,lcl_Gmax_Glyma.04G153100.1,1
gma-miR1536,lcl_Gmax_Glyma.12G132700.1,0
ath-miR5634,CNT2086221,1
ath-miR447c-3p,lcl_Athaliana_AT5G35337.1,0
mtr-miR2616,lcl_Mtruncatula_Medtr2g034620.1,1
mtr-miR5234,lcl_Mtruncatula_Medtr7g090430.1,0
gma-miR319q,lcl_Gmax_Glyma.18G277700.1,1
gma-miR10412,lcl_Gmax_Glyma.U032600.1,0
ath-miR399f,NONATHT003519,1
ath-miR841b-5p,NONATHT000491,0
mtr-miR396a-5p,lcl_Mtruncatula_Medtr7g068490.1,1
mtr-miR5245,lcl_Mtruncatula_Medtr2g019360.1,0
gma-miR1513c,lcl_Gmax_Glyma.07G087200.1,1
gma-miR4402,lcl_Gmax_Glyma.17G142500.1,0
ath-miR854a,CNT2086881,1
ath-miR5998a,CNT2086728,0
mtr-miR169g,lcl_Mtruncatula_Medtr2g072880.1,1
mtr-miR2594,lcl_Mtruncatula_Medtr7g111640.2,0
gma-miR408a-5p,lcl_Gmax_Glyma.07G059400.2,1
gma-miR1516c,lcl_Gmax_Glyma.16G092300.1,0
ath-miR472-5p,lcl_Athaliana_AT5G24165.1,1
ath-miR5664,CNT2084975,0
mtr-miR319b-5p,lcl_Mtruncatula_Medtr6g034970.1,1
mtr-miR2657,lcl_Mtruncatula_Medtr3g053460.2,0
gma-miR482b-3p,lcl_Gmax_Glyma.17G094900.1,1
gma-miR10445,lcl_Gmax_Glyma.03G143300.1,0
ath-miR414,CNT2086487,1
ath-miR5999,CNT2085370,0
mtr-miR5266,lcl_Mtruncatula_Medtr7g056323.1,1
mtr-miR166d,lcl_Mtruncatula_Medtr7g096640.2,0
gma-miR159e-5p,lcl_Gmax_Glyma.16G029800.1,1
gma-miR482c-3p,lcl_Gmax_Glyma.20G010700.1,0
ath-miR5658,lcl_Athaliana_AT3G48185.1,1
ath-miR4240,NONATHT001001,0
mtr-miR164d,lcl_Mtruncatula_Medtr7g081650.1,1
mtr-miR7699-5p,lcl_Mtruncatula_Medtr7g078390.1,0
gma-miR5776,lcl_Gmax_Glyma.19G136600.5,1
gma-miR167e,lcl_Gmax_Glyma.17G251800.2,0
ath-miR5638b,CNT2087562,1
ath-miR8121,lcl_Athaliana_AT4G22513.1,0
mtr-miR169k,lcl_Mtruncatula_Medtr5g043080.1,1
mtr-miR1507-3p,lcl_Mtruncatula_Medtr4g115740.7,0
gma-miR9756,lcl_Gmax_Glyma.02G266500.1,1
gma-miR162b,lcl_Gmax_Glyma.05G013600.1,0
ath-miR8172,CNT2086593,1
ath-miR5663-3p,CNT2088522,0
mtr-miR2598,lcl_Mtruncatula_Medtr3g106970.1,1
mtr-miR5224b,lcl_Mtruncatula_Medtr4g043720.3,0
gma-miR168b,lcl_Gmax_Glyma.16G011400.1,1
gma-miR1507c-3p,lcl_Gmax_Glyma.17G146200.1,0
ath-miR5016,NONATHT003580,1
ath-miR1887,lcl_Athaliana_AT5G66490.1,0
mtr-miR169c,lcl_Mtruncatula_Medtr4g055040.1,1
mtr-miR169f,lcl_Mtruncatula_Medtr4g115740.6,0
gma-miR4371b,lcl_Gmax_Glyma.06G010100.1,1
gma-miR1520l,lcl_Gmax_Glyma.19G197400.1,0
ath-miR167a-5p,lcl_Athaliana_AT1G07119.1,1
ath-miR8121,CNT2085089,0
mtr-miR5298b,lcl_Mtruncatula_Medtr1g100603.1,1
mtr-miR156a,lcl_Mtruncatula_Medtr7g111640.2,0
gma-miR9757,lcl_Gmax_Glyma.06G164000.1,1
gma-miR5784,lcl_Gmax_Glyma.03G179400.1,0
ath-miR2111a-3p,CNT2085622,1
ath-miR5016,NONATHT000555,0
mtr-miR319b-5p,lcl_Mtruncatula_Medtr2g021870.1,1
mtr-miR395g,lcl_Mtruncatula_Medtr0101s0020.2,0
gma-miR4993,lcl_Gmax_Glyma.15G127300.1,1
gma-miR169i-3p,lcl_Gmax_Glyma.01G175700.4,0
ath-miR5020a,CNT2089039,1
ath-miR403-5p,CNT2087711,0
mtr-miR2586b,lcl_Mtruncatula_Medtr3g083460.1,1
mtr-miR2677,lcl_Mtruncatula_Medtr5g084410.3,0
gma-miR169i-3p,lcl_Gmax_Glyma.10G214300.1,1
gma-miR160a-5p,lcl_Gmax_Glyma.06G214300.1,0
ath-miR394b-3p,NONATHT001887,1
ath-miR5649a,lcl_Athaliana_AT1G72430.1,0
mtr-miR1507-3p,lcl_Mtruncatula_Medtr0181s0020.1,1
mtr-miR5288,lcl_Mtruncatula_Medtr5g015470.1,0
gma-miR5380a,lcl_Gmax_Glyma.15G041000.1,1
gma-miR1513a-3p,lcl_Gmax_Glyma.10G098800.1,0
ath-miR8181,CNT2088189,1
ath-miR844-3p,CNT2086307,0
mtr-miR319d-5p,lcl_Mtruncatula_Medtr1g103250.1,1
mtr-miR2664a,lcl_Mtruncatula_Medtr5g084410.3,0
gma-miR4414b,lcl_Gmax_Glyma.02G266500.1,1
gma-miR1524,lcl_Gmax_Glyma.08G342400.1,0
ath-miR771,CNT2085563,1
ath-miR776,lcl_Athaliana_AT4G19620.1,0
mtr-miR159a,lcl_Mtruncatula_Medtr4g077030.1,1
mtr-miR5280,lcl_Mtruncatula_Medtr4g106400.1,0
gma-miR4367,lcl_Gmax_Glyma.08G358000.1,1
gma-miR171c-3p,lcl_Gmax_Glyma.05G013600.1,0
ath-miR164c-5p,lcl_Athaliana_AT5G42092.1,1
ath-miR5595a,NONATHT003257,0
mtr-miR5281a,lcl_Mtruncatula_Medtr5g031990.1,1
mtr-miR169h,lcl_Mtruncatula_Medtr4g059760.1,0
gma-miR1523a,lcl_Gmax_Glyma.07G134200.1,1
gma-miR166u,lcl_Gmax_Glyma.02G184400.1,0
ath-miR858a,lcl_Athaliana_AT2G34120.1,1
ath-miR870-5p,CNT2088015,0
mtr-miR7700-5p,lcl_Mtruncatula_Medtr0351s0020.1,1
mtr-miR166e-5p,lcl_Mtruncatula_Medtr0152s0100.1,0
gma-miR4396,lcl_Gmax_Glyma.01G058100.1,1
gma-miR5784,lcl_Gmax_Glyma.01G175700.2,0
ath-miR8167a,CNT2088631,1
ath-miR164b-3p,NONATHT001222,0
mtr-miR5233,lcl_Mtruncatula_Medtr4g101810.1,1
mtr-miR2678,lcl_Mtruncatula_Medtr8g022770.3,0
gma-miR4416c-3p,lcl_Gmax_Glyma.U034800.1,1
gma-miR9750-5p,lcl_Gmax_Glyma.01G175700.1,0
ath-miR414,NONATHT000353,1
ath-miR846-5p,lcl_Athaliana_AT1G68250.2,0
mtr-miR5211,lcl_Mtruncatula_Medtr6g017115.1,1
mtr-miR5228,lcl_Mtruncatula_Medtr7g108080.1,0
gma-miR5767,lcl_Gmax_Glyma.16G090800.1,1
gma-miR393c-3p,lcl_Gmax_Glyma.05G080300.1,0
ath-miR168a-5p,CNT2088803,1
ath-miR3434-5p,NONATHT000402,0
mtr-miR5750,lcl_Mtruncatula_Medtr8g466270.1,1
mtr-miR399d,lcl_Mtruncatula_Medtr4g059760.1,0
gma-miR1520p,lcl_Gmax_Glyma.20G081600.1,1
gma-miR4346,lcl_Gmax_Glyma.01G175700.8,0
ath-miR780.1,CNT2086032,1
ath-miR867,lcl_Athaliana_AT1G57613.1,0
mtr-miR2673a,lcl_Mtruncatula_Medtr3g035820.1,1
mtr-miR2670f,lcl_Mtruncatula_Medtr3g109685.1,0
gma-miR172h-5p,lcl_Gmax_Glyma.06G304400.1,1
gma-miR1516a-3p,lcl_Gmax_Glyma.11G157900.1,0
ath-miR833b,lcl_Athaliana_AT1G57540.1,1
ath-miR857,CNT2088214,0
mtr-miR169d-5p,lcl_Mtruncatula_Medtr1g017330.1,1
mtr-miR5238,lcl_Mtruncatula_Medtr2g105240.5,0
gma-miR156ab,lcl_Gmax_Glyma.15G225700.1,1
gma-miR5037b,lcl_Gmax_Glyma.19G045000.1,0
ath-miR3932b-5p,lcl_Athaliana_AT5G29031.1,1
ath-miR4245,lcl_Athaliana_AT2G23348.1,0
mtr-miR319c-3p,lcl_Mtruncatula_Medtr4g129203.1,1
mtr-miR5261,lcl_Mtruncatula_Medtr0101s0020.2,0
gma-miR171b-5p,lcl_Gmax_Glyma.02G266500.1,1
gma-miR4415b-5p,lcl_Gmax_Glyma.13G029100.1,0
ath-miR8168,lcl_Athaliana_AT5G40316.1,1
ath-miR161.2,CNT2088514,0
mtr-miR169a,lcl_Mtruncatula_Medtr2g064760.1,1
mtr-miR2624,lcl_Mtruncatula_Medtr7g102320.4,0
gma-miR9760,lcl_Gmax_Glyma.13G118000.1,1
gma-miR4375,lcl_Gmax_Glyma.15G168400.1,0
ath-miR8181,lcl_Athaliana_AT2G10265.1,1
ath-miR866-3p,CNT2086112,0
mtr-miR171h,lcl_Mtruncatula_Medtr4g451315.1,1
mtr-miR2594,lcl_Mtruncatula_Medtr4g059760.1,0
gma-miR166p,lcl_Gmax_Glyma.17G149200.1,1
gma-miR4404,lcl_Gmax_Glyma.06G023700.1,0
ath-miR5643a,CNT2087604,1
ath-miR5641,lcl_Athaliana_AT3G29772.1,0
mtr-miR5259,lcl_Mtruncatula_Medtr2g040075.1,1
mtr-miR5263,lcl_Mtruncatula_Medtr4g115740.7,0
gma-miR2118a-5p,lcl_Gmax_Glyma.02G243000.1,1
gma-miR5374-5p,lcl_Gmax_Glyma.03G243300.1,0
ath-miR5999,CNT2086580,1
ath-miR1887,NONATHT002293,0
mtr-miR399d,lcl_Mtruncatula_Medtr2g005070.1,1
mtr-miR166e-5p,lcl_Mtruncatula_Medtr1g107440.5,0
gma-miR172g,lcl_Gmax_Glyma.19G092900.1,1
gma-miR4345,lcl_Gmax_Glyma.10G256500.2,0
ath-miR172b-5p,CNT2084810,1
ath-miR407,CNT2085380,0
mtr-miR169d-3p,lcl_Mtruncatula_Medtr3g116275.1,1
mtr-miR5298b,lcl_Mtruncatula_Medtr2g009910.1,0
gma-miR319d,lcl_Gmax_Glyma.09G134300.1,1
gma-miR156z,lcl_Gmax_Glyma.01G175700.5,0
ath-miR164a,lcl_Athaliana_AT5G28800.1,1
ath-miR8180,CNT2085968,0
mtr-miR5270a,lcl_Mtruncatula_Medtr3g049755.1,1
mtr-miR5760,lcl_Mtruncatula_Medtr7g102320.4,0
gma-miR396d,lcl_Gmax_Glyma.01G031200.2,1
gma-miR9738,lcl_Gmax_Glyma.18G210200.1,0
ath-miR841b-5p,CNT2087615,1
ath-miR870-3p,lcl_Athaliana_AT5G10040.1,0
mtr-miR156b-5p,lcl_Mtruncatula_Medtr3g117040.1,1
mtr-miR5253,lcl_Mtruncatula_Medtr0101s0020.2,0
gma-miR5037c,lcl_Gmax_Glyma.13G227500.1,1
gma-miR4358,lcl_Gmax_Glyma.07G098900.1,0
ath-miR166a-3p,CNT2085096,1
ath-miR472-3p,NONATHT002266,0
mtr-miR2589,lcl_Mtruncatula_Medtr0014s0200.1,1
mtr-miR2592bl-5p,lcl_Mtruncatula_Medtr7g090430.1,0
gma-miR167l,lcl_Gmax_Glyma.11G024800.6,1
gma-miR9761,lcl_Gmax_Glyma.19G234700.1,0
ath-miR398a-3p,lcl_Athaliana_AT3G52070.1,1
ath-miR3932a,CNT2086454,0
mtr-miR160c,lcl_Mtruncatula_Medtr0211s0060.1,1
mtr-miR5249,lcl_Mtruncatula_Medtr5g074570.1,0
gma-miR5767,lcl_Gmax_Glyma.06G304000.1,1
gma-miR408d,lcl_Gmax_Glyma.18G073900.1,0
ath-miR5662,CNT2088422,1
ath-miR407,lcl_Athaliana_AT1G67195.2,0
mtr-miR319c-5p,lcl_Mtruncatula_Medtr6g091740.1,1
mtr-miR7701-3p,lcl_Mtruncatula_Medtr5g048060.2,0
gma-miR482b-3p,lcl_Gmax_Glyma.04G045900.2,1
gma-miR5371-5p,lcl_Gmax_Glyma.14G013200.1,0
ath-miR8171,CNT2084895,1
ath-miR5998a,lcl_Athaliana_AT1G37036.1,0
mtr-miR2668,lcl_Mtruncatula_Medtr2g038645.1,1
mtr-miR319d-3p,lcl_Mtruncatula_Medtr8g022770.3,0
gma-miR4416b,lcl_Gmax_Glyma.06G320500.1,1
gma-miR396a-5p,lcl_Gmax_Glyma.08G342400.1,0
ath-miR394a,CNT2088178,1
ath-miR5650,CNT2086791,0
mtr-miR5234,lcl_Mtruncatula_Medtr4g050580.1,1
mtr-miR4414a-5p,lcl_Mtruncatula_Medtr6g066100.2,0
gma-miR169n-3p,lcl_Gmax_Glyma.16G197400.2,1
gma-miR2118a-3p,lcl_Gmax_Glyma.04G095600.1,0
ath-miR5016,lcl_Athaliana_AT2G36355.2,1
ath-miR4227,lcl_Athaliana_AT5G43150.1,0
mtr-miR2616,lcl_Mtruncatula_Medtr1g067100.1,1
mtr-miR5753,lcl_Mtruncatula_Medtr1g095390.2,0
gma-miR5036,lcl_Gmax_Glyma.16G126800.1,1
gma-miR5765,lcl_Gmax_Glyma.18G073900.1,0
ath-miR848,NONATHT000754,1
ath-miR3434-5p,NONATHT001403,0
mtr-miR5298b,lcl_Mtruncatula_Medtr4g111820.1,1
mtr-miR5755,lcl_Mtruncatula_Medtr3g053460.2,0
gma-miR159c,lcl_Gmax_Glyma.02G099600.3,1
gma-miR5035-5p,lcl_Gmax_Glyma.02G310500.1,0
ath-miR5022,lcl_Athaliana_AT5G31838.1,1
ath-miR1886.3,lcl_Athaliana_AT5G27882.1,0
mtr-miR5273,lcl_Mtruncatula_Medtr4g077703.1,1
mtr-miR2599,lcl_Mtruncatula_Medtr8g022770.3,0
gma-miR166i-5p,lcl_Gmax_Glyma.09G204400.1,1
gma-miR167h,lcl_Gmax_Glyma.11G137200.1,0
ath-miR771,CNT2088180,1
ath-miR419,lcl_Athaliana_AT4G19095.1,0
mtr-miR2623,lcl_Mtruncatula_Medtr8g468070.1,1
mtr-miR156a,lcl_Mtruncatula_Medtr2g031430.1,0
gma-miR169n-3p,lcl_Gmax_Glyma.16G035300.1,1
gma-miR9744,lcl_Gmax_Glyma.01G175700.11,0
ath-miR399f,NONATHT003032,1
ath-miR4243,NONATHT001035,0
mtr-miR169h,lcl_Mtruncatula_Medtr1g110950.1,1
mtr-miR2088-3p,lcl_Mtruncatula_Medtr3g466420.1,0
gma-miR2109-5p,lcl_Gmax_Glyma.07G221400.1,1
gma-miR9741,lcl_Gmax_Glyma.11G137200.1,0
ath-miR869.1,lcl_Athaliana_AT4G35980.1,1
ath-miR822-3p,lcl_Athaliana_AT2G06910.1,0
mtr-miR398a-5p,lcl_Mtruncatula_Medtr4g062160.1,1
mtr-miR2592ap,lcl_Mtruncatula_Medtr4g106400.1,0
gma-miR319h,lcl_Gmax_Glyma.16G164700.2,1
gma-miR1514a-5p,lcl_Gmax_Glyma.U032600.1,0
ath-miR837-5p,CNT2087564,1
ath-miR5024-5p,CNT2087763,0
mtr-miR482-5p,lcl_Mtruncatula_Medtr2g080270.2,1
mtr-miR5277,lcl_Mtruncatula_Medtr2g023920.2,0
gma-miR482e,lcl_Gmax_Glyma.11G191300.1,1
