,mirna,lncrna,Label,mirna_id,lncrna_id,pair_index
4441,ath-miR5655,lcl_Athaliana_AT2G42388.1,0,294,-2924,4441
4442,mtr-miR5274a,lcl_Mtruncatula_Medtr1g037060.1,1,79,-2925,4442
4443,mtr-miR156g-5p,lcl_Mtruncatula_Medtr7g111640.2,0,360,-309,4443
4444,gma-miR156d,lcl_Gmax_Glyma.02G300800.1,1,1076,-1519,4444
4445,gma-miR4994-3p,lcl_Gmax_Glyma.16G002000.1,0,1122,-2100,4445
4446,ath-miR169a-3p,CNT2088611,1,679,-2926,4446
4447,ath-miR172b-5p,lcl_Athaliana_AT4G17820.1,0,556,-2927,4447
4448,mtr-miR2653a,lcl_Mtruncatula_Medtr2g032780.1,1,766,-2928,4448
4449,mtr-miR397-3p,lcl_Mtruncatula_Medtr1g107440.6,0,371,-420,4449
4450,gma-miR9752,lcl_Gmax_Glyma.10G111000.1,1,469,-2929,4450
4451,gma-miR1520j,lcl_Gmax_Glyma.02G184400.1,0,1208,-779,4451
4452,ath-miR841a-5p,CNT2086688,1,242,-2930,4452
4453,ath-miR844-3p,CNT2085840,0,850,-2931,4453
4454,mtr-miR399t-5p,lcl_Mtruncatula_Medtr0152s0130.1,1,243,-2932,4454
4455,mtr-miR172a,lcl_Mtruncatula_Medtr7g111640.3,0,266,-514,4455
4456,gma-miR4993,lcl_Gmax_Glyma.04G137900.1,1,437,-2933,4456
4457,gma-miR1535b,lcl_Gmax_Glyma.05G080300.4,0,491,-546,4457
4458,ath-miR404,lcl_Athaliana_AT2G33847.1,1,348,-2934,4458
4459,ath-miR1886.3,lcl_Athaliana_AT2G25720.1,0,860,-2935,4459
4460,mtr-miR5241a,lcl_Mtruncatula_Medtr5g029495.1,1,964,-2936,4460
4461,mtr-miR2599,lcl_Mtruncatula_Medtr3g050170.1,0,935,-135,4461
4462,gma-miR394b-3p,lcl_Gmax_Glyma.14G144000.1,1,65,-2937,4462
4463,gma-miR5762,lcl_Gmax_Glyma.16G092300.1,0,954,-201,4463
4464,ath-miR172d-5p,CNT2089026,1,650,-2938,4464
4465,ath-miR781a,CNT2086338,0,504,-2939,4465
4466,mtr-miR156i-3p,lcl_Mtruncatula_Medtr4g101060.1,1,844,-308,4466
4467,mtr-miR2665,lcl_Mtruncatula_Medtr2g031430.1,0,1209,-581,4467
4468,gma-miR4414a-3p,lcl_Gmax_Glyma.03G073200.1,1,450,-1356,4468
4469,gma-miR5769,lcl_Gmax_Glyma.05G109000.1,0,215,-863,4469
4470,ath-miR8167a,CNT2086229,1,476,-2940,4470
4471,ath-miR5017-3p,lcl_Athaliana_AT2G23110.2,0,377,-2941,4471
4472,mtr-miR7697-5p,lcl_Mtruncatula_Medtr8g464150.1,1,180,-453,4472
4473,mtr-miR7696c-3p,lcl_Mtruncatula_Medtr0016s0040.1,0,509,-10,4473
4474,gma-miR167k,lcl_Gmax_Glyma.06G216900.1,1,811,-2942,4474
4475,gma-miR10447,lcl_Gmax_Glyma.U035100.2,0,496,-502,4475
4476,ath-miR834,lcl_Athaliana_AT1G65000.1,1,13,-2943,4476
4477,ath-miR426,CNT2086236,0,977,-2944,4477
4478,mtr-miR399t-5p,lcl_Mtruncatula_Medtr2g046670.1,1,243,-2945,4478
4479,mtr-miR5275,lcl_Mtruncatula_Medtr4g035885.1,0,173,-267,4479
4480,gma-miR10421,lcl_Gmax_Glyma.16G093700.1,1,904,-2946,4480
4481,gma-miR5031,lcl_Gmax_Glyma.08G036200.1,0,122,-1152,4481
4482,ath-miR160a-3p,NONATHT001142,1,427,-2947,4482
4483,ath-miR844-3p,NONATHT001281,0,850,-2948,4483
4484,mtr-miR5562-3p,lcl_Mtruncatula_Medtr4g039380.1,1,9,-2949,4484
4485,mtr-miR5214-5p,lcl_Mtruncatula_Medtr7g111640.3,0,949,-514,4485
4486,gma-miR319n,lcl_Gmax_Glyma.07G138000.1,1,1210,-2950,4486
4487,gma-miR10193a,lcl_Gmax_Glyma.06G214300.1,0,880,-154,4487
4488,ath-miR851-5p,CNT2085329,1,41,-592,4488
4489,ath-miR390a-3p,CNT2087707,0,795,-2951,4489
4490,mtr-miR530,lcl_Mtruncatula_Medtr4g014530.1,1,218,-2952,4490
4491,mtr-miR5557-3p,lcl_Mtruncatula_Medtr3g053460.2,0,1117,-107,4491
4492,gma-miR5774a,lcl_Gmax_Glyma.17G108100.1,1,300,-2953,4492
4493,gma-miR5043,lcl_Gmax_Glyma.15G148400.1,0,39,-1024,4493
4494,ath-miR8180,NONATHT003628,1,539,-2954,4494
4495,ath-miR829-5p,lcl_Athaliana_AT2G37362.1,0,428,-2955,4495
4496,mtr-miR5206b,lcl_Mtruncatula_Medtr2g073140.1,1,903,-2956,4496
4497,mtr-miR5206b,lcl_Mtruncatula_Medtr1g086180.2,0,903,-163,4497
4498,gma-miR394b-3p,lcl_Gmax_Glyma.17G057000.1,1,65,-2957,4498
4499,gma-miR5670b,lcl_Gmax_Glyma.19G038200.1,0,1150,-1261,4499
4500,ath-miR168a-5p,CNT2085585,1,177,-2958,4500
4501,ath-miR5023,lcl_Athaliana_AT5G29029.1,0,1211,-2959,4501
4502,mtr-miR164d,lcl_Mtruncatula_Medtr3g020980.1,1,252,-2960,4502
4503,mtr-miR396c,lcl_Mtruncatula_Medtr3g109685.1,0,332,-595,4503
4504,gma-miR391a-3p,lcl_Gmax_Glyma.03G072200.1,1,1165,-2961,4504
4505,gma-miR5559,lcl_Gmax_Glyma.05G013600.1,0,187,-587,4505
4506,ath-miR822-5p,lcl_Athaliana_AT1G45223.1,1,293,-2962,4506
4507,ath-miR5014a-3p,lcl_Athaliana_AT5G26890.1,0,306,-2963,4507
4508,mtr-miR5276,lcl_Mtruncatula_Medtr4g099120.1,1,298,-2964,4508
4509,mtr-miR156e,lcl_Mtruncatula_Medtr4g072130.1,0,413,-671,4509
4510,gma-miR167h,lcl_Gmax_Glyma.20G029400.1,1,717,-2965,4510
4511,gma-miR408a-3p,lcl_Gmax_Glyma.04G179600.1,0,410,-756,4511
4512,ath-miR5020a,CNT2087139,1,1,-2966,4512
4513,ath-miR406,CNT2089174,0,353,-2967,4513
4514,mtr-miR168b,lcl_Mtruncatula_Medtr1490s0010.1,1,158,-2968,4514
4515,mtr-miR5555-5p,lcl_Mtruncatula_Medtr5g015470.1,0,1212,-123,4515
4516,gma-miR159a-5p,lcl_Gmax_Glyma.02G220200.1,1,196,-1131,4516
4517,gma-miR10196,lcl_Gmax_Glyma.04G106700.1,0,1213,-876,4517
4518,ath-miR5653,CNT2085655,1,250,-2969,4518
4519,ath-miR5659,lcl_Athaliana_AT4G06558.1,0,315,-2970,4519
4520,mtr-miR5557-3p,lcl_Mtruncatula_Medtr8g105190.1,1,1117,-2971,4520
4521,mtr-miR5232,lcl_Mtruncatula_Medtr1g086180.2,0,756,-163,4521
4522,gma-miR482c-3p,lcl_Gmax_Glyma.01G082300.1,1,258,-2972,4522
4523,gma-miR403a,lcl_Gmax_Glyma.20G169700.1,0,1112,-1759,4523
4524,ath-miR829-3p.1,lcl_Athaliana_AT5G29058.1,1,494,-2973,4524
4525,ath-miR406,CNT2088587,0,353,-2974,4525
4526,mtr-miR5289a,lcl_Mtruncatula_Medtr7g031890.1,1,664,-2200,4526
4527,mtr-miR5236a,lcl_Mtruncatula_Medtr6g007970.1,0,235,-454,4527
4528,gma-miR171k-5p,lcl_Gmax_Glyma.16G154500.1,1,384,-2975,4528
4529,gma-miR5368,lcl_Gmax_Glyma.20G157000.2,0,23,-1918,4529
4530,ath-miR8175,CNT2085552,1,260,-2976,4530
4531,ath-miR415,CNT2088873,0,809,-2977,4531
4532,mtr-miR2614,lcl_Mtruncatula_Medtr6g022660.1,1,361,-2978,4532
4533,mtr-miR7697-5p,lcl_Mtruncatula_Medtr1g054150.1,0,180,-22,4533
4534,gma-miR156e,lcl_Gmax_Glyma.07G099300.1,1,596,-708,4534
4535,gma-miR156q,lcl_Gmax_Glyma.18G290700.3,0,605,-29,4535
4536,ath-miR167c-5p,lcl_Athaliana_AT5G39635.1,1,739,-2979,4536
4537,ath-miR3434-5p,CNT2089095,0,265,-2980,4537
4538,mtr-miR2592a-5p,lcl_Mtruncatula_Medtr7g070360.1,1,666,-2981,4538
4539,mtr-miR171e-5p,lcl_Mtruncatula_Medtr4g059760.1,0,290,-113,4539
4540,gma-miR319n,lcl_Gmax_Glyma.03G243200.1,1,1210,-2982,4540
4541,gma-miR172c,lcl_Gmax_Glyma.11G157900.1,0,909,-279,4541
4542,ath-miR5023,CNT2086302,1,1211,-556,4542
4543,ath-miR3434-5p,CNT2088936,0,265,-2983,4543
4544,mtr-miR2659a,lcl_Mtruncatula_Medtr3g055325.1,1,383,-2984,4544
4545,mtr-miR4414a-5p,lcl_Mtruncatula_Medtr2g105240.5,0,516,-406,4545
4546,gma-miR4386,lcl_Gmax_Glyma.12G071500.1,1,237,-2985,4546
4547,gma-miR9727,lcl_Gmax_Glyma.20G010700.1,0,915,-70,4547
4548,ath-miR3434-3p,lcl_Athaliana_AT5G67490.1,1,198,-2986,4548
4549,ath-miR855,lcl_Athaliana_AT1G48315.1,0,836,-2251,4549
4550,mtr-miR5266,lcl_Mtruncatula_Medtr2g014370.5,1,481,-2987,4550
4551,mtr-miR156g-5p,lcl_Mtruncatula_Medtr4g115740.7,0,360,-1018,4551
4552,gma-miR319c,lcl_Gmax_Glyma.16G164700.1,1,219,-729,4552
4553,gma-miR5042-5p,lcl_Gmax_Glyma.09G078500.1,0,1214,-422,4553
4554,ath-miR5027,lcl_Athaliana_AT5G22190.1,1,704,-2988,4554
4555,ath-miR3434-5p,lcl_Athaliana_AT1G72430.1,0,265,-1811,4555
4556,mtr-miR1510b-3p,lcl_Mtruncatula_Medtr7g051170.1,1,1177,-2989,4556
4557,mtr-miR5218,lcl_Mtruncatula_Medtr1g095390.2,0,191,-4,4557
4558,gma-miR319h,lcl_Gmax_Glyma.16G054000.1,1,274,-2990,4558
4559,gma-miR10413a,lcl_Gmax_Glyma.01G071500.1,0,45,-1298,4559
4560,ath-miR5630a,NONATHT003684,1,849,-2991,4560
4561,ath-miR830-3p,lcl_Athaliana_AT2G39725.2,0,67,-2992,4561
4562,mtr-miR160c,lcl_Mtruncatula_Medtr1g028770.1,1,448,-2993,4562
4563,mtr-miR2652a,lcl_Mtruncatula_Medtr2g105240.5,0,862,-406,4563
4564,gma-miR1520f-5p,lcl_Gmax_Glyma.20G191300.1,1,220,-2994,4564
4565,gma-miR9727,lcl_Gmax_Glyma.07G197400.1,0,915,-1268,4565
4566,ath-miR401,CNT2085820,1,111,-2995,4566
4567,ath-miR5628,CNT2087886,0,467,-2996,4567
4568,mtr-miR168a,lcl_Mtruncatula_Medtr3g453140.1,1,73,-2997,4568
4569,mtr-miR2656a,lcl_Mtruncatula_Medtr7g111640.2,0,505,-309,4569
4570,gma-miR395i,lcl_Gmax_Glyma.07G234600.1,1,1215,-2998,4570
4571,gma-miR828a,lcl_Gmax_Glyma.01G129800.1,0,97,-125,4571
4572,ath-miR8175,CNT2088457,1,260,-2999,4572
4573,ath-miR173-3p,CNT2086583,0,622,-3000,4573
4574,mtr-miR5276,lcl_Mtruncatula_Medtr1g050855.1,1,298,-3001,4574
4575,mtr-miR7697-3p,lcl_Mtruncatula_Medtr6g007970.1,0,839,-454,4575
4576,gma-miR9748,lcl_Gmax_Glyma.05G103800.1,1,517,-3002,4576
4577,gma-miR1516c,lcl_Gmax_Glyma.14G072000.1,0,800,-1062,4577
4578,ath-miR8181,CNT2085358,1,46,-3003,4578
4579,ath-miR870-5p,CNT2085729,0,140,-3004,4579
4580,mtr-miR5254,lcl_Mtruncatula_Medtr4g046663.1,1,26,-3005,4580
4581,mtr-miR5559-5p,lcl_Mtruncatula_Medtr5g081650.3,0,396,-56,4581
4582,gma-miR9752,lcl_Gmax_Glyma.03G260800.1,1,469,-3006,4582
4583,gma-miR3522,lcl_Gmax_Glyma.19G045000.1,0,777,-1843,4583
4584,ath-miR168a-3p,NONATHT001470,1,167,-3007,4584
4585,ath-miR8170-3p,lcl_Athaliana_AT5G24660.1,0,20,-3008,4585
4586,mtr-miR169j,lcl_Mtruncatula_Medtr2g034330.1,1,48,-3009,4586
4587,mtr-miR5216a,lcl_Mtruncatula_Medtr1g107440.6,0,953,-420,4587
4588,gma-miR5783,lcl_Gmax_Glyma.07G017200.1,1,346,-1267,4588
4589,gma-miR5375,lcl_Gmax_Glyma.02G087300.1,0,385,-165,4589
4590,ath-miR8181,lcl_Athaliana_AT2G24545.1,1,46,-3010,4590
4591,ath-miR867,CNT2084885,0,599,-3011,4591
4592,mtr-miR2673a,lcl_Mtruncatula_Medtr5g096215.1,1,31,-3012,4592
4593,mtr-miR160c,lcl_Mtruncatula_Medtr1g086180.2,0,448,-163,4593
4594,gma-miR398a,lcl_Gmax_Glyma.11G019600.1,1,910,-3013,4594
4595,gma-miR167c,lcl_Gmax_Glyma.17G191700.1,0,591,-196,4595
4596,ath-miR824-3p,CNT2087139,1,592,-2966,4596
4597,ath-miR823,lcl_Athaliana_AT5G42290.1,0,24,-3014,4597
4598,mtr-miR5276,lcl_Mtruncatula_Medtr1176s0010.1,1,298,-3015,4598
4599,mtr-miR2624,lcl_Mtruncatula_Medtr7g111640.3,0,810,-514,4599
4600,gma-miR394b-5p,lcl_Gmax_Glyma.18G102000.2,1,236,-3016,4600
4601,gma-miR166h-5p,lcl_Gmax_Glyma.11G013200.3,0,1052,-284,4601
4602,ath-miR854a,lcl_Athaliana_AT5G03310.1,1,319,-3017,4602
4603,ath-miR3932b-5p,CNT2087015,0,376,-3018,4603
4604,mtr-miR5276,lcl_Mtruncatula_Medtr1g008885.1,1,298,-3019,4604
4605,mtr-miR2624,lcl_Mtruncatula_Medtr4g049300.2,0,810,-129,4605
4606,gma-miR4407,lcl_Gmax_Glyma.16G027000.1,1,1012,-3020,4606
4607,gma-miR9750-3p,lcl_Gmax_Glyma.16G164700.3,0,962,-359,4607
4608,ath-miR5020b,CNT2088268,1,386,-3021,4608
4609,ath-miR156b-3p,lcl_Athaliana_AT5G30870.1,0,1073,-3022,4609
4610,mtr-miR399k,lcl_Mtruncatula_Medtr3g007340.1,1,1093,-741,4610
4611,mtr-miR5557-5p,lcl_Mtruncatula_Medtr4g035885.1,0,851,-267,4611
4612,gma-miR9749,lcl_Gmax_Glyma.20G172900.3,1,1130,-3023,4612
4613,gma-miR4354,lcl_Gmax_Glyma.03G198900.1,0,1104,-597,4613
4614,ath-miR398b-3p,lcl_Athaliana_AT1G65500.1,1,398,-3024,4614
4615,ath-miR846-3p,CNT2088166,0,515,-1708,4615
4616,mtr-miR2088-5p,lcl_Mtruncatula_Medtr3g032740.1,1,1089,-3025,4616
4617,mtr-miR5760,lcl_Mtruncatula_Medtr0101s0020.4,0,994,-92,4617
4618,gma-miR4993,lcl_Gmax_Glyma.17G246100.1,1,437,-625,4618
4619,gma-miR9754,lcl_Gmax_Glyma.16G020900.1,0,670,-1057,4619
4620,ath-miR854a,NONATHT001910,1,319,-3026,4620
4621,ath-miR780.1,CNT2086117,0,182,-3027,4621
4622,mtr-miR5277,lcl_Mtruncatula_Medtr4g014270.1,1,279,-3028,4622
4623,mtr-miR4414b,lcl_Mtruncatula_Medtr5g015470.1,0,357,-123,4623
4624,gma-miR5767,lcl_Gmax_Glyma.15G080400.1,1,271,-3029,4624
4625,gma-miR169u,lcl_Gmax_Glyma.01G175700.5,0,1064,-565,4625
4626,ath-miR3440b-3p,CNT2087853,1,272,-3030,4626
4627,ath-miR3440b-5p,lcl_Athaliana_AT5G10040.1,0,560,-1871,4627
4628,mtr-miR2589,lcl_Mtruncatula_Medtr3g105840.1,1,113,-3031,4628
4629,mtr-miR5265,lcl_Mtruncatula_Medtr8g043400.3,0,311,-62,4629
4630,gma-miR396a-5p,lcl_Gmax_Glyma.10G130600.1,1,1048,-3032,4630
4631,gma-miR172i-3p,lcl_Gmax_Glyma.15G108500.1,0,723,-993,4631
4632,ath-miR168a-3p,CNT2084816,1,167,-3033,4632
4633,ath-miR846-5p,lcl_Athaliana_AT4G37483.1,0,489,-2756,4633
4634,mtr-miR166g-5p,lcl_Mtruncatula_Medtr2g104330.1,1,894,-3034,4634
4635,mtr-miR395a,lcl_Mtruncatula_Medtr1g107440.6,0,685,-420,4635
4636,gma-miR167k,lcl_Gmax_Glyma.09G257200.1,1,811,-1634,4636
4637,gma-miR169n-5p,lcl_Gmax_Glyma.01G071500.1,0,166,-1298,4637
4638,ath-miR5018,lcl_Athaliana_AT4G03837.1,1,189,-1933,4638
4639,ath-miR833a-3p,CNT2086638,0,325,-3035,4639
4640,mtr-miR1510b-3p,lcl_Mtruncatula_Medtr0362s0010.1,1,1177,-3036,4640
4641,mtr-miR399c,lcl_Mtruncatula_Medtr7g108080.1,0,841,-496,4641
4642,gma-miR5783,lcl_Gmax_Glyma.20G022700.6,1,346,-3037,4642
4643,gma-miR5038a,lcl_Gmax_Glyma.04G095600.1,0,347,-1281,4643
4644,ath-miR826b,CNT2088905,1,1216,-3038,4644
4645,ath-miR4240,NONATHT001349,0,334,-3039,4645
4646,mtr-miR5276,lcl_Mtruncatula_Medtr7g105210.1,1,298,-3040,4646
4647,mtr-miR168b,lcl_Mtruncatula_Medtr7g096640.2,0,158,-544,4647
4648,gma-miR398c,lcl_Gmax_Glyma.05G148500.1,1,590,-1426,4648
4649,gma-miR1520f-3p,lcl_Gmax_Glyma.U035100.2,0,689,-502,4649
4650,ath-miR397a,lcl_Athaliana_AT5G57860.3,1,690,-3041,4650
4651,ath-miR870-5p,NONATHT003207,0,140,-3042,4651
4652,mtr-miR5252,lcl_Mtruncatula_Medtr7g082100.1,1,682,-3043,4652
4653,mtr-miR2588a,lcl_Mtruncatula_Medtr3g053460.2,0,1217,-107,4653
4654,gma-miR4414b,lcl_Gmax_Glyma.20G114900.1,1,165,-3044,4654
4655,gma-miR4348a-3p,lcl_Gmax_Glyma.14G072000.1,0,1218,-1062,4655
4656,ath-miR824-3p,CNT2085732,1,592,-3045,4656
4657,ath-miR8170-3p,NONATHT001277,0,20,-2305,4657
4658,mtr-miR399d,lcl_Mtruncatula_Medtr7g115360.1,1,132,-3046,4658
4659,mtr-miR171e-5p,lcl_Mtruncatula_Medtr1g086180.2,0,290,-163,4659
4660,gma-miR159b-3p,lcl_Gmax_Glyma.17G060500.1,1,322,-426,4660
4661,gma-miR396j,lcl_Gmax_Glyma.01G175700.5,0,292,-565,4661
4662,ath-miR168a-5p,CNT2085091,1,177,-3047,4662
4663,ath-miR846-5p,lcl_Athaliana_AT4G06646.1,0,489,-3048,4663
4664,mtr-miR5215,lcl_Mtruncatula_Medtr8g045770.1,1,663,-3049,4664
4665,mtr-miR1510a-3p,lcl_Mtruncatula_Medtr5g081650.3,0,1139,-56,4665
4666,gma-miR5044,lcl_Gmax_Glyma.02G124200.2,1,12,-3050,4666
4667,gma-miR5768,lcl_Gmax_Glyma.04G106700.1,0,380,-876,4667
4668,ath-miR156f-3p,CNT2088701,1,951,-3051,4668
4669,ath-miR426,CNT2086491,0,977,-3052,4669
4670,mtr-miR2592bo-5p,lcl_Mtruncatula_Medtr7g092140.1,1,715,-3053,4670
4671,mtr-miR5740,lcl_Mtruncatula_Medtr5g084410.2,0,877,-86,4671
4672,gma-miR5037a,lcl_Gmax_Glyma.18G169500.1,1,661,-3054,4672
4673,gma-miR171a,lcl_Gmax_Glyma.17G142500.1,0,1121,-322,4673
4674,ath-miR5646,lcl_Athaliana_AT5G32572.1,1,447,-3055,4674
4675,ath-miR418,CNT2087150,0,94,-3056,4675
4676,mtr-miR2609a,lcl_Mtruncatula_Medtr5g069080.1,1,414,-3057,4676
4677,mtr-miR2594,lcl_Mtruncatula_Medtr4g072130.1,0,179,-671,4677
4678,gma-miR5041-3p,lcl_Gmax_Glyma.13G003300.2,1,822,-3058,4678
4679,gma-miR169h,lcl_Gmax_Glyma.07G051900.1,0,144,-937,4679
4680,ath-miR2111a-3p,CNT2085725,1,129,-3059,4680
4681,ath-miR418,CNT2085154,0,94,-3060,4681
4682,mtr-miR396a-5p,lcl_Mtruncatula_Medtr5g089530.1,1,153,-3061,4682
4683,mtr-miR399b,lcl_Mtruncatula_Medtr2g009910.2,0,579,-74,4683
4684,gma-miR4414a-5p,lcl_Gmax_Glyma.13G133700.1,1,540,-3062,4684
4685,gma-miR319d,lcl_Gmax_Glyma.16G164700.3,0,853,-359,4685
4686,ath-miR394b-3p,CNT2086666,1,1030,-3063,4686
4687,ath-miR870-3p,lcl_Athaliana_AT5G59613.2,0,355,-3064,4687
4688,mtr-miR169k,lcl_Mtruncatula_Medtr1g076790.1,1,691,-3065,4688
4689,mtr-miR168c-3p,lcl_Mtruncatula_Medtr0152s0100.1,0,95,-152,4689
4690,gma-miR159b-5p,lcl_Gmax_Glyma.20G172900.2,1,55,-3066,4690
4691,gma-miR4399,lcl_Gmax_Glyma.16G020900.1,0,161,-1057,4691
4692,ath-miR391-5p,CNT2089017,1,652,-2913,4692
4693,ath-miR5655,lcl_Athaliana_AT1G69572.1,0,294,-1400,4693
4694,mtr-miR2586b,lcl_Mtruncatula_Medtr8g068490.1,1,356,-3067,4694
4695,mtr-miR2586a,lcl_Mtruncatula_Medtr2g009910.2,0,15,-74,4695
4696,gma-miR5783,lcl_Gmax_Glyma.08G153000.1,1,346,-3068,4696
4697,gma-miR4412-5p,lcl_Gmax_Glyma.01G175700.10,0,186,-473,4697
4698,ath-miR398b-3p,CNT2087231,1,398,-3069,4698
4699,ath-miR5649a,CNT2086059,0,417,-3070,4699
4700,mtr-miR2119,lcl_Mtruncatula_Medtr7g014600.1,1,988,-3071,4700
4701,mtr-miR5037a,lcl_Mtruncatula_Medtr1g107440.2,0,307,-141,4701
4702,gma-miR166a-3p,lcl_Gmax_Glyma.14G223800.1,1,638,-3072,4702
4703,gma-miR10407d,lcl_Gmax_Glyma.02G248900.1,0,1219,-2517,4703
4704,ath-miR771,CNT2088310,1,123,-588,4704
4705,ath-miR8121,lcl_Athaliana_AT3G30610.1,0,99,-3073,4705
4706,mtr-miR160c,lcl_Mtruncatula_Medtr4g124530.1,1,448,-3074,4706
4707,mtr-miR2642,lcl_Mtruncatula_Medtr2g105240.5,0,126,-406,4707
4708,gma-miR482e,lcl_Gmax_Glyma.U010900.1,1,313,-3075,4708
4709,gma-miR169k,lcl_Gmax_Glyma.U006200.2,0,815,-1139,4709
4710,ath-miR166a-5p,NONATHT001362,1,280,-3076,4710
4711,ath-miR5631,CNT2088386,0,157,-3077,4711
4712,mtr-miR5744,lcl_Mtruncatula_Medtr7g060500.1,1,1220,-3078,4712
4713,mtr-miR2643b-5p,lcl_Mtruncatula_Medtr2g105230.5,0,434,-1252,4713
4714,gma-miR171k-5p,lcl_Gmax_Glyma.10G133600.1,1,384,-3079,4714
4715,gma-miR9752,lcl_Gmax_Glyma.02G111100.1,0,469,-437,4715
4716,ath-miR5648-3p,CNT2086557,1,162,-3080,4716
4717,ath-miR166a-5p,lcl_Athaliana_AT2G41178.1,0,280,-3081,4717
4718,mtr-miR2670f,lcl_Mtruncatula_Medtr0019s0320.1,1,653,-3082,4718
4719,mtr-miR408-3p,lcl_Mtruncatula_Medtr6g066100.2,0,990,-376,4719
4720,gma-miR4404,lcl_Gmax_Glyma.05G018600.1,1,249,-3083,4720
4721,gma-miR1535a,lcl_Gmax_Glyma.19G197400.1,0,1221,-652,4721
4722,ath-miR168a-3p,CNT2088026,1,167,-3084,4722
4723,ath-miR161.1,CNT2088311,0,151,-3085,4723
4724,mtr-miR5293,lcl_Mtruncatula_Medtr3g065810.1,1,282,-3086,4724
4725,mtr-miR482-3p,lcl_Mtruncatula_Medtr4g106400.1,0,792,-180,4725
4726,gma-miR10201,lcl_Gmax_Glyma.11G090800.1,1,435,-3087,4726
4727,gma-miR5782,lcl_Gmax_Glyma.11G013200.3,0,1222,-284,4727
4728,ath-miR160a-3p,CNT2085642,1,427,-3088,4728
4729,ath-miR846-5p,lcl_Athaliana_AT5G08535.2,0,489,-3089,4729
4730,mtr-miR398b,lcl_Mtruncatula_Medtr0082s0170.1,1,827,-3090,4730
4731,mtr-miR319b-5p,lcl_Mtruncatula_Medtr8g095630.2,0,1006,-147,4731
4732,gma-miR169e,lcl_Gmax_Glyma.04G114400.1,1,6,-3091,4732
4733,gma-miR5773,lcl_Gmax_Glyma.01G071500.1,0,807,-1298,4733
4734,ath-miR5020c,NONATHT002905,1,216,-3092,4734
4735,ath-miR5641,CNT2086411,0,239,-3093,4735
4736,mtr-miR2656a,lcl_Mtruncatula_Medtr6g047530.1,1,505,-3094,4736
4737,mtr-miR2590h,lcl_Mtruncatula_Medtr4g115740.7,0,1223,-1018,4737
4738,gma-miR319n,lcl_Gmax_Glyma.19G253700.1,1,1210,-3095,4738
4739,gma-miR5678,lcl_Gmax_Glyma.U022300.1,0,791,-402,4739
4740,ath-miR854a,lcl_Athaliana_AT4G24026.1,1,319,-3096,4740
4741,ath-miR870-5p,lcl_Athaliana_AT5G10695.1,0,140,-2053,4741
4742,mtr-miR399d,lcl_Mtruncatula_Medtr6g090445.1,1,132,-1364,4742
4743,mtr-miR5288,lcl_Mtruncatula_Medtr1g107440.2,0,879,-141,4743
4744,gma-miR5774a,lcl_Gmax_Glyma.05G080300.7,1,300,-3097,4744
4745,gma-miR4371a,lcl_Gmax_Glyma.08G330400.1,0,523,-577,4745
4746,ath-miR162a-5p,CNT2087344,1,87,-3098,4746
4747,ath-miR861-3p,NONATHT000402,0,432,-1834,4747
4748,mtr-miR2589,lcl_Mtruncatula_Medtr1g111700.1,1,113,-3099,4748
4749,mtr-miR2637,lcl_Mtruncatula_Medtr7g111640.3,0,947,-514,4749
4750,gma-miR5377b,lcl_Gmax_Glyma.20G055100.1,1,1162,-153,4750
4751,gma-miR5035-5p,lcl_Gmax_Glyma.U034900.1,0,721,-212,4751
4752,ath-miR166e-5p,CNT2087299,1,759,-2146,4752
4753,ath-miR5631,lcl_Athaliana_AT4G06617.1,0,157,-3100,4753
4754,mtr-miR2591,lcl_Mtruncatula_Medtr1g085990.1,1,478,-3101,4754
4755,mtr-miR2615a,lcl_Mtruncatula_Medtr4g006610.1,0,1224,-262,4755
4756,gma-miR9748,lcl_Gmax_Glyma.11G178900.1,1,517,-3102,4756
4757,gma-miR10429,lcl_Gmax_Glyma.17G142500.4,0,1188,-24,4757
4758,ath-miR838,lcl_Athaliana_AT1G19396.1,1,117,-3103,4758
4759,ath-miR5641,CNT2087758,0,239,-3104,4759
4760,mtr-miR2592ap,lcl_Mtruncatula_Medtr1g069995.1,1,90,-3105,4760
4761,mtr-miR2592a-3p,lcl_Mtruncatula_Medtr2g009910.2,0,1225,-74,4761
4762,gma-miR408a-3p,lcl_Gmax_Glyma.06G226500.1,1,410,-3106,4762
4763,gma-miR9754,lcl_Gmax_Glyma.16G100900.1,0,670,-2654,4763
4764,ath-miR398a-3p,lcl_Athaliana_AT1G65500.1,1,905,-3024,4764
4765,ath-miR852,CNT2086025,0,107,-3107,4765
4766,mtr-miR5284a,lcl_Mtruncatula_Medtr7g033240.1,1,907,-3108,4766
4767,mtr-miR5212-5p,lcl_Mtruncatula_Medtr7g090430.1,0,1226,-33,4767
4768,gma-miR394b-5p,lcl_Gmax_Glyma.12G138200.2,1,236,-3109,4768
4769,gma-miR168b,lcl_Gmax_Glyma.18G290700.3,0,659,-29,4769
4770,ath-miR157a-3p,lcl_Athaliana_AT3G57062.2,1,649,-3110,4770
4771,ath-miR406,NONATHT003367,0,353,-2175,4771
4772,mtr-miR482-5p,lcl_Mtruncatula_Medtr7g106090.1,1,495,-3111,4772
4773,mtr-miR5219,lcl_Mtruncatula_Medtr5g074570.1,0,378,-277,4773
