,Seqname,GCCoW: GC content of whole sequence,GCCo1: GC content of 1st position of codons,GCCo2: GC content of 2nd position of codons,GCCo3: GC content of 3rd position of codons,GCC1V: GCCo1 variance frame score,GCC2V: GCCo2 variance frame score,GCC3V: GCCo3 variance frame score
291,ENST00000587278.1,0.427259,0.3951,0.404288,0.482389,0.007106,0.006908,0.006759
292,ENST00000587060.1,0.485075,0.492537,0.474627,0.48806,0.000253,0.000211,0.000154
293,ENST00000588040.1,0.303676,0.308824,0.288971,0.313235,0.000505,0.000515,0.000587
294,ENST00000594299.1,0.539683,0.536508,0.520635,0.561905,0.001324,0.001331,0.001373
295,ENST00000595395.1,0.407346,0.345576,0.450751,0.42571,0.009233,0.008881,0.008505
296,ENST00000587128.1,0.388965,0.418605,0.384405,0.363885,0.002265,0.002193,0.002185
297,ENST00000590369.1,0.466981,0.509434,0.459906,0.431604,0.004419,0.003977,0.00404
298,ENST00000588655.1,0.498258,0.501742,0.538328,0.454704,0.005179,0.005189,0.004892
299,ENST00000598754.1,0.521277,0.542553,0.485106,0.53617,0.002968,0.002787,0.002457
300,ENST00000601263.1,0.522422,0.477578,0.571749,0.517937,0.006859,0.006395,0.005956
301,ENST00000595673.1,0.509868,0.513158,0.493421,0.523026,0.000747,0.000742,0.000987
302,ENST00000602172.1,0.383951,0.350432,0.383951,0.417471,0.003414,0.003356,0.003354
303,ENST00000596521.1,0.500232,0.519258,0.517865,0.463573,0.002991,0.002951,0.002987
304,ENST00000600068.1,0.448463,0.396022,0.471971,0.477396,0.006423,0.00606,0.00622
305,ENST00000600047.1,0.401444,0.409386,0.420217,0.374729,0.001668,0.001637,0.001688
306,ENST00000593427.1,0.363551,0.357915,0.367074,0.365665,7.5e-05,8.3e-05,8.6e-05
307,ENST00000595422.1,0.508349,0.556586,0.517625,0.450835,0.00832,0.007944,0.008011
308,ENST00000594562.1,0.475634,0.426901,0.508772,0.491228,0.005766,0.006256,0.005944
309,ENST00000600686.1,0.595644,0.613636,0.590909,0.582386,0.000732,0.000825,0.000843
310,ENST00000595302.1,0.573239,0.546479,0.585915,0.587324,0.001647,0.001583,0.001613
311,ENST00000597309.1,0.484634,0.446809,0.48227,0.524823,0.004874,0.00449,0.004445
312,ENST00000597980.1,0.587719,0.573684,0.547368,0.642105,0.007431,0.007512,0.007775
313,ENST00000416463.1,0.5,0.557339,0.474771,0.46789,0.007146,0.006607,0.006852
314,ENST00000423704.1,0.5,0.523973,0.446918,0.52911,0.006399,0.006213,0.005837
315,ENST00000438482.1,0.536105,0.521882,0.54814,0.538293,0.000558,0.00063,0.000699
316,ENST00000602458.1,0.426184,0.428969,0.42247,0.427112,3.3e-05,3.6e-05,3.2e-05
317,ENST00000594472.1,0.359362,0.337531,0.355164,0.38539,0.001805,0.001915,0.001903
318,ENST00000420644.1,0.393321,0.367347,0.378479,0.434137,0.00401,0.004291,0.00443
319,ENST00000443038.1,0.574713,0.551724,0.574713,0.597701,0.001748,0.001935,0.001928
320,ENST00000366187.2,0.500956,0.499044,0.476099,0.527725,0.002105,0.00208,0.002315
321,ENST00000415640.1,0.519651,0.471616,0.524017,0.563319,0.006693,0.006217,0.006169
322,ENST00000440698.1,0.413557,0.406702,0.422696,0.411272,0.000205,0.000199,0.000187
323,ENST00000412297.1,0.542929,0.55303,0.530303,0.545455,0.000378,0.000503,0.000348
324,ENST00000601494.1,0.408873,0.410072,0.388489,0.428058,0.001209,0.001211,0.001123
325,ENST00000602091.1,0.433785,0.400417,0.450469,0.450469,0.002577,0.002765,0.002835
326,ENST00000601395.1,0.449511,0.454397,0.454397,0.439739,0.000185,0.000217,0.000249
327,ENST00000447639.1,0.527041,0.512195,0.521739,0.54719,0.001044,0.001116,0.001093
328,ENST00000422761.1,0.532329,0.539415,0.523472,0.534101,0.000191,0.000168,0.000134
329,ENST00000548978.2,0.602052,0.612311,0.612311,0.581533,0.000919,0.000949,0.000978
330,ENST00000604845.1,0.392673,0.413852,0.386377,0.37779,0.001041,0.000978,0.000965
331,ENST00000604219.1,0.347639,0.354077,0.366953,0.321888,0.001556,0.001594,0.001376
332,ENST00000445178.1,0.358,0.3,0.414,0.36,0.00983,0.009654,0.009844
333,ENST00000446816.1,0.595285,0.620825,0.575639,0.589391,0.001574,0.001516,0.001564
334,ENST00000603748.1,0.383941,0.398785,0.384615,0.368421,0.00067,0.000617,0.00062
335,ENST00000308604.5,0.528986,0.538043,0.5,0.548913,0.002022,0.002095,0.00185
336,ENST00000441075.1,0.505682,0.545455,0.473011,0.49858,0.003955,0.004222,0.00444
337,ENST00000439494.1,0.510608,0.500707,0.521924,0.509194,0.000363,0.000298,0.000237
338,ENST00000594898.1,0.480962,0.517034,0.498998,0.426854,0.006609,0.006921,0.007055
339,ENST00000443132.1,0.452652,0.431818,0.448864,0.477273,0.001709,0.001548,0.001596
340,ENST00000447413.1,0.440778,0.444162,0.449239,0.428934,0.000319,0.000308,0.000272
341,ENST00000592161.1,0.49063,0.475298,0.465077,0.531516,0.004004,0.004128,0.004325
342,ENST00000587576.1,0.406015,0.37594,0.383459,0.458647,0.006579,0.007008,0.007289
343,ENST00000604571.1,0.468484,0.49063,0.480409,0.434412,0.00257,0.0024,0.002297
344,ENST00000589355.1,0.47992,0.46988,0.512048,0.457831,0.002411,0.002517,0.002824
345,ENST00000604692.1,0.361481,0.342222,0.444444,0.297778,0.016964,0.016825,0.017269
346,ENST00000590743.1,0.465517,0.524631,0.469212,0.402709,0.010999,0.010666,0.010665
347,ENST00000589830.1,0.43554,0.491289,0.45993,0.355401,0.014711,0.015475,0.01501
348,ENST00000604956.1,0.358824,0.317647,0.403676,0.355147,0.005616,0.005521,0.005338
349,ENST00000418062.1,0.413603,0.413603,0.391544,0.435662,0.00152,0.001533,0.00175
350,ENST00000578746.1,0.429838,0.465288,0.412112,0.412112,0.002731,0.002481,0.002613
351,ENST00000584485.1,0.361575,0.429594,0.315036,0.340095,0.010776,0.011065,0.010881
352,ENST00000582038.2,0.365031,0.342025,0.366564,0.386503,0.001516,0.001478,0.001479
353,ENST00000413911.1,0.699674,0.665941,0.744287,0.688792,0.004931,0.005035,0.004912
354,ENST00000428777.1,0.447328,0.425954,0.439695,0.476336,0.002148,0.002323,0.002375
355,ENST00000452057.1,0.377899,0.396999,0.387449,0.34925,0.001893,0.001922,0.001936
356,ENST00000441749.1,0.597917,0.65625,0.525,0.6125,0.013276,0.012855,0.013455
357,ENST00000425481.1,0.546314,0.550095,0.584121,0.504726,0.004649,0.004668,0.005027
358,ENST00000567819.1,0.54575,0.549,0.537,0.55125,0.000177,0.000174,0.000183
359,ENST00000416204.1,0.50678,0.498305,0.50339,0.518644,0.000393,0.000469,0.000494
360,ENST00000412497.1,0.48125,0.51875,0.46875,0.45625,0.003104,0.00277,0.002666
361,ENST00000419666.2,0.321154,0.294231,0.323077,0.346154,0.002135,0.002482,0.002494
362,ENST00000421829.1,0.519751,0.505198,0.555094,0.49896,0.002836,0.002979,0.00267
363,ENST00000595300.1,0.358521,0.424437,0.299035,0.35209,0.01178,0.011205,0.011775
364,ENST00000596537.1,0.363775,0.369863,0.369863,0.351598,0.000306,0.000265,0.000303
365,ENST00000593517.1,0.301768,0.325758,0.280303,0.299242,0.001536,0.001357,0.001289
366,ENST00000512005.1,0.476987,0.445607,0.508368,0.476987,0.003058,0.003396,0.003704
367,ENST00000598163.1,0.580292,0.55292,0.574818,0.613139,0.002995,0.0032,0.003154
368,ENST00000601795.1,0.494363,0.533391,0.470945,0.478751,0.003406,0.003261,0.003172
369,ENST00000565959.1,0.446128,0.452862,0.415825,0.469697,0.002295,0.002275,0.00221
370,ENST00000601471.1,0.527881,0.490706,0.518587,0.574349,0.005717,0.00603,0.006083
371,ENST00000599421.1,0.556319,0.568681,0.543956,0.556319,0.000433,0.000518,0.000595
372,ENST00000593977.1,0.465625,0.496875,0.529688,0.370313,0.021076,0.020799,0.020308
373,ENST00000600155.1,0.509025,0.49278,0.476534,0.557762,0.005649,0.005709,0.005837
374,ENST00000427022.1,0.48323,0.514286,0.480745,0.454658,0.00258,0.002753,0.002767
375,ENST00000432411.1,0.532438,0.510067,0.597315,0.489933,0.009758,0.009484,0.010226
376,ENST00000448927.1,0.615756,0.626321,0.601516,0.61943,0.000489,0.000481,0.000463
377,ENST00000588753.1,0.573854,0.585739,0.560272,0.575552,0.000467,0.000401,0.000297
378,ENST00000444966.1,0.479487,0.553846,0.4,0.484615,0.017609,0.016773,0.015973
379,ENST00000447037.1,0.405248,0.389213,0.402332,0.424198,0.001004,0.000919,0.000901
380,ENST00000430259.1,0.456306,0.433466,0.448361,0.48709,0.002338,0.002292,0.00231
381,ENST00000458623.1,0.476998,0.508475,0.443099,0.479419,0.00313,0.003465,0.003893
382,ENST00000476405.1,0.564695,0.594732,0.518484,0.580869,0.004945,0.004918,0.004866
383,ENST00000436079.1,0.57907,0.573837,0.580814,0.582558,7.3e-05,8.6e-05,8.2e-05
384,ENST00000429962.1,0.608076,0.615202,0.610451,0.598575,0.000197,0.000179,0.000172
385,ENST00000444093.1,0.548387,0.543011,0.564516,0.537634,0.000596,0.000647,0.000809
386,ENST00000431924.2,0.479644,0.461832,0.484733,0.492366,0.000816,0.00072,0.000695
387,ENST00000444381.1,0.467925,0.48,0.493585,0.430189,0.003298,0.003253,0.003159
388,ENST00000412067.1,0.51084,0.573171,0.479675,0.479675,0.00856,0.008218,0.008394
389,ENST00000602478.1,0.49247,0.411145,0.542169,0.524096,0.0154,0.014899,0.015221
390,ENST00000450920.1,0.476871,0.494533,0.469302,0.466779,0.000674,0.000609,0.000584
391,ENST00000523354.1,0.405229,0.385621,0.392157,0.437908,0.002592,0.002432,0.002604
392,ENST00000520396.1,0.469091,0.463636,0.474545,0.469091,0.000106,0.000169,0.000122
393,ENST00000489616.1,0.418525,0.442539,0.344768,0.468268,0.012848,0.012968,0.013691
394,ENST00000469846.2,0.5,0.452239,0.497015,0.550746,0.007544,0.007886,0.007882
395,ENST00000521708.1,0.464481,0.508197,0.404372,0.480874,0.008645,0.008274,0.008834
396,ENST00000480904.2,0.46856,0.486815,0.505071,0.413793,0.006836,0.006972,0.00663
397,ENST00000498199.1,0.489237,0.410959,0.499022,0.55773,0.016854,0.017626,0.01747
398,ENST00000475197.1,0.486446,0.494729,0.474398,0.490211,0.000338,0.000365,0.00041
399,ENST00000462717.1,0.469388,0.489796,0.442177,0.47619,0.001771,0.001572,0.001339
400,ENST00000460754.1,0.423062,0.440592,0.437086,0.391508,0.002228,0.002192,0.002213
401,ENST00000511998.1,0.647764,0.615049,0.693566,0.634678,0.00506,0.004851,0.004706
402,ENST00000433902.2,0.569959,0.469136,0.654321,0.58642,0.026795,0.027703,0.027045
403,ENST00000502789.2,0.566161,0.497831,0.614967,0.585683,0.011322,0.010965,0.010761
404,ENST00000487580.1,0.426,0.432,0.354,0.492,0.014605,0.014506,0.015289
405,ENST00000483289.2,0.424572,0.431931,0.423772,0.418013,0.000144,0.000148,0.000148
406,ENST00000600502.1,0.429119,0.456897,0.376437,0.454023,0.006259,0.006122,0.005942
407,ENST00000469301.1,0.463176,0.424626,0.504028,0.460875,0.004772,0.004682,0.004784
408,ENST00000420226.1,0.47205,0.503106,0.484472,0.428571,0.004226,0.003808,0.003604
409,ENST00000452051.1,0.518863,0.536359,0.488792,0.531438,0.002051,0.00201,0.002083
410,ENST00000444939.1,0.536638,0.465517,0.543103,0.601293,0.014453,0.013745,0.013756
411,ENST00000424769.1,0.511236,0.522472,0.463483,0.547753,0.005769,0.005634,0.005074
412,ENST00000415244.1,0.615142,0.596215,0.62776,0.621451,0.000887,0.000962,0.000915
413,ENST00000437064.1,0.496732,0.480392,0.578431,0.431373,0.016735,0.016396,0.015306
414,ENST00000417557.1,0.51455,0.512702,0.509931,0.521016,0.000106,0.000102,9.2e-05
415,ENST00000578730.1,0.594487,0.602829,0.599565,0.581066,0.0004,0.000416,0.000409
416,ENST00000581398.1,0.47293,0.47293,0.472399,0.473461,1e-06,1e-06,2e-06
417,ENST00000505364.1,0.504333,0.538589,0.480396,0.494016,0.002753,0.002819,0.002774
418,ENST00000504748.1,0.645161,0.660342,0.648956,0.626186,0.00079,0.000709,0.000684
419,ENST00000562049.1,0.366653,0.37758,0.367867,0.354512,0.000393,0.000368,0.000365
420,ENST00000563286.1,0.374822,0.380512,0.383357,0.360597,0.000456,0.000461,0.00045
421,ENST00000509007.1,0.461131,0.45583,0.45053,0.477032,0.000647,0.000707,0.000797
422,ENST00000504869.1,0.480374,0.515888,0.454206,0.471028,0.002936,0.003234,0.003021
423,ENST00000503704.1,0.477237,0.480377,0.456829,0.494505,0.001125,0.00111,0.001264
424,ENST00000509723.1,0.400366,0.35649,0.471664,0.372943,0.011714,0.011414,0.010765
425,ENST00000513220.1,0.4135,0.417754,0.405842,0.416903,0.000132,0.000137,0.000149
426,ENST00000508266.1,0.49195,0.542039,0.456172,0.477639,0.005832,0.006249,0.005963
427,ENST00000507799.1,0.668845,0.627451,0.686275,0.69281,0.004191,0.004493,0.004366
428,ENST00000506314.1,0.462202,0.479464,0.4625,0.444643,0.000896,0.000917,0.000917
429,ENST00000508286.1,0.439189,0.466216,0.47973,0.371622,0.010202,0.009886,0.009411
430,ENST00000562919.1,0.359037,0.374263,0.37279,0.330059,0.00187,0.001828,0.001788
431,ENST00000510655.1,0.329688,0.375,0.253125,0.360938,0.013353,0.013551,0.013235
432,ENST00000509938.1,0.35942,0.46087,0.243478,0.373913,0.035769,0.036787,0.038938
433,ENST00000505215.1,0.333333,0.255102,0.357143,0.387755,0.014999,0.014282,0.014448
434,ENST00000507826.1,0.564767,0.564767,0.569948,0.559585,6.9e-05,8e-05,4.5e-05
435,ENST00000507486.1,0.533597,0.537549,0.494071,0.56917,0.00435,0.004324,0.004088
436,ENST00000603472.1,0.360288,0.336927,0.401617,0.342318,0.003877,0.003806,0.003603
437,ENST00000569449.1,0.345698,0.365966,0.346463,0.324665,0.001265,0.00129,0.00129
438,ENST00000562632.1,0.313285,0.335096,0.28156,0.323199,0.002366,0.002406,0.002542
439,ENST00000510740.1,0.399582,0.364017,0.420502,0.414226,0.00301,0.003451,0.003619
440,ENST00000508745.1,0.497453,0.488964,0.458404,0.544992,0.005961,0.005877,0.005583
441,ENST00000505302.1,0.448718,0.519231,0.442308,0.384615,0.01335,0.012656,0.012565
442,ENST00000508123.1,0.365385,0.393357,0.351399,0.351399,0.001684,0.001852,0.001768
443,ENST00000505401.1,0.378613,0.385838,0.368497,0.381503,0.000239,0.000192,0.000149
444,ENST00000505637.1,0.418182,0.368182,0.436364,0.45,0.00628,0.007652,0.007157
445,ENST00000513406.1,0.490884,0.517532,0.467041,0.488079,0.001873,0.001713,0.001575
446,ENST00000508401.1,0.52921,0.551546,0.541237,0.494845,0.002597,0.002779,0.00287
447,ENST00000515356.2,0.416205,0.431807,0.418218,0.398591,0.000817,0.000846,0.000849
448,ENST00000511495.1,0.507692,0.512821,0.476923,0.533333,0.002514,0.002479,0.002257
449,ENST00000512287.1,0.522463,0.509151,0.519135,0.539101,0.000781,0.000677,0.000711
450,ENST00000502041.2,0.456259,0.459642,0.462542,0.446593,0.000208,0.000215,0.000201
451,ENST00000505668.1,0.363953,0.363003,0.361102,0.367754,3.7e-05,3.6e-05,4.2e-05
452,ENST00000506485.1,0.675532,0.680851,0.648936,0.696809,0.001853,0.001829,0.001972
453,ENST00000515570.1,0.362092,0.309804,0.388235,0.388235,0.006272,0.006692,0.006486
454,ENST00000453876.1,0.507666,0.480409,0.495741,0.546848,0.003823,0.003608,0.003505
455,ENST00000508713.1,0.423802,0.409587,0.415537,0.446281,0.00118,0.001205,0.001218
456,ENST00000499521.2,0.364636,0.352941,0.370658,0.37031,0.00031,0.000318,0.00032
457,ENST00000451355.2,0.468974,0.445704,0.470764,0.490453,0.001549,0.001618,0.001622
458,ENST00000434086.1,0.533454,0.520796,0.526221,0.553345,0.001015,0.001124,0.001176
459,ENST00000602319.1,0.420706,0.405745,0.41921,0.437163,0.000758,0.000782,0.000784
460,ENST00000602516.1,0.449481,0.437024,0.449481,0.461938,0.000478,0.00046,0.00046
461,ENST00000602498.1,0.474006,0.46789,0.412844,0.541284,0.012905,0.012962,0.01388
462,ENST00000504928.1,0.481328,0.441909,0.516598,0.485477,0.004364,0.00402,0.003702
463,ENST00000420819.2,0.429668,0.498721,0.391304,0.398977,0.010472,0.011215,0.011735
464,ENST00000562834.1,0.329022,0.355406,0.305742,0.325918,0.001857,0.001778,0.001743
465,ENST00000584934.1,0.452279,0.463675,0.461538,0.431624,0.000935,0.000896,0.000863
466,ENST00000602823.1,0.449454,0.467213,0.409836,0.471311,0.003563,0.003656,0.003446
467,ENST00000590213.1,0.434451,0.46189,0.448171,0.393293,0.003833,0.00363,0.003712
468,ENST00000442007.1,0.530009,0.529086,0.529086,0.531856,1.2e-05,8e-06,1.6e-05
469,ENST00000441363.1,0.5335,0.546816,0.530587,0.523096,0.000426,0.000403,0.000408
470,ENST00000563105.1,0.477064,0.498853,0.474771,0.457569,0.001226,0.001335,0.001351
471,ENST00000531702.1,0.403965,0.405204,0.39653,0.410161,0.000146,0.000144,0.00016
472,ENST00000435295.1,0.425842,0.430376,0.412889,0.434262,0.000391,0.000396,0.000419
473,ENST00000422230.1,0.510092,0.462385,0.555963,0.511927,0.006729,0.006339,0.005991
474,ENST00000413706.1,0.498516,0.489614,0.489614,0.51632,0.000778,0.000846,0.000905
475,ENST00000442176.1,0.43759,0.48637,0.426112,0.400287,0.005705,0.005996,0.005915
476,ENST00000424516.1,0.395775,0.376056,0.371831,0.439437,0.004429,0.004322,0.004197
477,ENST00000418442.1,0.379898,0.408859,0.337308,0.393526,0.00424,0.003978,0.003752
478,ENST00000428100.1,0.507463,0.492537,0.50533,0.52452,0.000889,0.001053,0.001048
479,ENST00000425358.2,0.546311,0.55573,0.536892,0.546311,0.000245,0.000194,0.000134
480,ENST00000428939.3,0.460067,0.445444,0.452193,0.482565,0.001235,0.001166,0.001214
481,ENST00000593300.1,0.355487,0.357032,0.347759,0.361669,0.00016,0.000167,0.000129
482,ENST00000593438.1,0.480127,0.448331,0.510334,0.481717,0.002972,0.002758,0.002548
483,ENST00000518947.6,0.533567,0.511022,0.528307,0.561373,0.001985,0.001958,0.001951
484,ENST00000519694.1,0.537415,0.489796,0.55102,0.571429,0.005736,0.005232,0.005363
485,ENST00000522674.1,0.609425,0.625565,0.602324,0.600387,0.00056,0.000526,0.000541
486,ENST00000511893.1,0.408795,0.429967,0.405537,0.390879,0.001096,0.000928,0.000954
487,ENST00000582838.1,0.398291,0.430769,0.384615,0.379487,0.002294,0.002502,0.002412
488,ENST00000578572.1,0.458427,0.498876,0.451685,0.424719,0.004015,0.004407,0.004488
489,ENST00000577889.1,0.450704,0.43662,0.450704,0.464789,0.000691,0.000885,0.000881
490,ENST00000582549.1,0.526978,0.55036,0.517986,0.51259,0.001149,0.001354,0.001274
491,ENST00000445938.1,0.635593,0.644068,0.733051,0.529661,0.031015,0.030896,0.030476
492,ENST00000425727.1,0.632619,0.78089,0.533773,0.583196,0.050752,0.050105,0.050626
493,ENST00000568457.1,0.502878,0.518053,0.497645,0.492936,0.000515,0.000552,0.000565
494,ENST00000438705.3,0.561886,0.554028,0.565815,0.565815,0.000182,0.000259,0.000228
495,ENST00000584686.1,0.554529,0.504621,0.548983,0.609982,0.008758,0.009155,0.009163
496,ENST00000412730.1,0.430135,0.429293,0.444444,0.416667,0.000568,0.000565,0.000507
497,ENST00000414227.1,0.400881,0.424795,0.407804,0.370044,0.002318,0.00224,0.002213
498,ENST00000427458.1,0.404355,0.415241,0.377916,0.419907,0.001605,0.001663,0.001518
499,ENST00000441539.1,0.38481,0.372152,0.379747,0.402532,0.000847,0.001062,0.001129
500,ENST00000437541.1,0.472566,0.493805,0.472566,0.451327,0.001253,0.001416,0.001411
501,ENST00000450686.1,0.449814,0.384758,0.462825,0.501859,0.010994,0.011645,0.011718
502,ENST00000445184.1,0.37172,0.424198,0.310496,0.380466,0.009815,0.0094,0.009128
503,ENST00000604666.1,0.388762,0.41344,0.386105,0.366743,0.001632,0.001665,0.001671
504,ENST00000602609.1,0.429189,0.418378,0.457297,0.411892,0.001805,0.001869,0.001716
505,ENST00000602575.1,0.411619,0.378352,0.439424,0.41708,0.00289,0.002981,0.003033
506,ENST00000517774.1,0.717435,0.715431,0.709419,0.727455,0.000313,0.000333,0.000254
507,ENST00000500853.1,0.487817,0.496447,0.472081,0.494924,0.000558,0.000539,0.000506
508,ENST00000569835.1,0.323759,0.315482,0.299416,0.356378,0.002611,0.002597,0.002563
509,ENST00000520930.1,0.587583,0.631929,0.572062,0.558758,0.004288,0.004831,0.004962
510,ENST00000522914.1,0.464758,0.495595,0.436123,0.462555,0.00257,0.002271,0.002031
511,ENST00000521851.1,0.514337,0.451613,0.543011,0.548387,0.009162,0.008671,0.008892
512,ENST00000523831.1,0.410876,0.398792,0.407855,0.425982,0.000686,0.000931,0.000926
513,ENST00000565617.1,0.422655,0.421593,0.419469,0.426903,4.6e-05,4.9e-05,4.5e-05
514,ENST00000499653.1,0.345215,0.339844,0.361816,0.333984,0.000644,0.000635,0.000589
515,ENST00000518591.1,0.402778,0.39881,0.428571,0.380952,0.001704,0.00167,0.001419
516,ENST00000518639.1,0.393631,0.4,0.382166,0.398726,0.000297,0.000283,0.00031
517,ENST00000568248.1,0.362066,0.35503,0.364145,0.367024,0.00012,0.000116,0.000117
518,ENST00000531565.1,0.57514,0.560876,0.571574,0.59297,0.000831,0.00086,0.000866
519,ENST00000534006.1,0.46519,0.531646,0.474684,0.389241,0.014895,0.015815,0.015619
520,ENST00000527067.1,0.486712,0.470952,0.502472,0.486712,0.000753,0.000731,0.00071
521,ENST00000563205.1,0.36743,0.341985,0.352672,0.407634,0.003765,0.003721,0.003693
522,ENST00000566293.1,0.369714,0.364918,0.367534,0.376689,0.000117,0.000114,0.000116
523,ENST00000471864.1,0.671958,0.611111,0.698413,0.706349,0.008647,0.00818,0.008068
524,ENST00000484285.2,0.562572,0.54248,0.58209,0.563146,0.001198,0.001141,0.001098
525,ENST00000377680.3,0.446029,0.456503,0.426826,0.454757,0.000832,0.000817,0.000795
526,ENST00000431813.1,0.396011,0.388889,0.393162,0.405983,0.000268,0.000232,0.000265
527,ENST00000416066.1,0.392405,0.392405,0.360759,0.424051,0.003105,0.003116,0.0029
528,ENST00000563434.1,0.427585,0.43984,0.407754,0.43516,0.0009,0.000886,0.00087
529,ENST00000568421.1,0.476517,0.46589,0.470003,0.493658,0.000688,0.000672,0.000662
530,ENST00000563249.1,0.395659,0.420701,0.410684,0.355593,0.003576,0.003723,0.003804
531,ENST00000567068.1,0.532945,0.521567,0.542207,0.535062,0.000335,0.000321,0.000311
532,ENST00000566531.1,0.368709,0.387309,0.351204,0.367615,0.000958,0.00085,0.00096
533,ENST00000449175.1,0.539773,0.537934,0.559993,0.52139,0.001121,0.001122,0.001109
534,ENST00000425991.1,0.614203,0.59309,0.71977,0.52975,0.028008,0.028064,0.027441
535,ENST00000443993.1,0.523071,0.538996,0.531646,0.498571,0.001367,0.001397,0.001413
536,ENST00000429224.1,0.668022,0.638211,0.658537,0.707317,0.003988,0.004115,0.004144
537,ENST00000450304.1,0.601831,0.597254,0.617849,0.590389,0.000593,0.000534,0.000423
538,ENST00000569497.1,0.545122,0.570732,0.504878,0.559756,0.003721,0.003597,0.003371
539,ENST00000433061.1,0.485822,0.476371,0.459357,0.521739,0.003267,0.003356,0.003588
540,ENST00000561973.1,0.322626,0.333101,0.297486,0.337291,0.00144,0.001397,0.00135
541,ENST00000604070.1,0.320217,0.324016,0.328901,0.307734,0.000365,0.000367,0.000374
542,ENST00000546674.1,0.467456,0.448225,0.434911,0.519231,0.006343,0.006209,0.006447
543,ENST00000340301.5,0.521024,0.50457,0.515539,0.542962,0.001292,0.00115,0.001204
544,ENST00000574212.1,0.539474,0.566986,0.516746,0.534689,0.001885,0.002049,0.001917
545,ENST00000549796.1,0.551748,0.54695,0.526388,0.581905,0.002409,0.002421,0.002492
546,ENST00000565266.1,0.508065,0.508065,0.564516,0.451613,0.009409,0.00936,0.008738
547,ENST00000566537.1,0.700183,0.592322,0.652651,0.855576,0.058361,0.057091,0.056372
548,ENST00000457283.3,0.503806,0.494118,0.510727,0.506574,0.000238,0.000207,0.000188
549,ENST00000569752.1,0.521277,0.506649,0.506649,0.550532,0.002027,0.001932,0.002022
550,ENST00000563777.1,0.526196,0.53303,0.541382,0.504176,0.001133,0.00114,0.001159
551,ENST00000576336.1,0.488029,0.508287,0.508287,0.447514,0.003551,0.003387,0.003562
552,ENST00000564629.1,0.59881,0.589888,0.596827,0.609716,0.000316,0.0003,0.000303
553,ENST00000560208.1,0.579592,0.579592,0.587755,0.571429,0.000183,0.00019,0.000148
554,ENST00000565861.1,0.445923,0.489185,0.394343,0.454243,0.00684,0.006497,0.00618
555,ENST00000570210.1,0.386266,0.373391,0.420601,0.364807,0.002703,0.002811,0.002546
556,ENST00000548144.1,0.415301,0.47541,0.355191,0.415301,0.010724,0.010181,0.010783
557,ENST00000571975.1,0.410655,0.395103,0.42687,0.409993,0.000764,0.000745,0.000766
558,ENST00000564147.1,0.64728,0.664165,0.641651,0.636023,0.000568,0.000481,0.000513
559,ENST00000568179.1,0.369735,0.407176,0.355694,0.346334,0.003121,0.002812,0.00293
560,ENST00000567834.1,0.391161,0.384139,0.387856,0.401487,0.000259,0.000249,0.000244
561,ENST00000561622.1,0.34068,0.34005,0.338161,0.343829,2.8e-05,2.6e-05,2.1e-05
562,ENST00000561788.1,0.39908,0.404339,0.404339,0.38856,0.000237,0.00025,0.000262
563,ENST00000570278.1,0.475761,0.449831,0.500564,0.476888,0.00198,0.002127,0.001996
564,ENST00000568764.1,0.451202,0.496464,0.445545,0.411598,0.005325,0.005028,0.005054
565,ENST00000566639.1,0.434358,0.439944,0.448324,0.414804,0.000872,0.00084,0.00074
566,ENST00000597578.1,0.571429,0.58047,0.618445,0.515371,0.007998,0.008056,0.007744
567,ENST00000594398.1,0.493355,0.483389,0.458472,0.538206,0.005156,0.005229,0.005495
568,ENST00000562866.1,0.637193,0.652025,0.617798,0.641757,0.000915,0.000964,0.000901
569,ENST00000562298.1,0.629431,0.673469,0.654135,0.560687,0.010717,0.010982,0.010879
570,ENST00000466740.2,0.520619,0.564433,0.479381,0.518041,0.005272,0.005821,0.006324
571,ENST00000599026.1,0.521984,0.537768,0.517475,0.51071,0.000549,0.000479,0.0005
572,ENST00000570809.1,0.407977,0.420513,0.410256,0.393162,0.000555,0.000581,0.000575
573,ENST00000570712.1,0.406103,0.394366,0.471831,0.352113,0.011011,0.010862,0.011469
574,ENST00000575890.1,0.436016,0.434985,0.452012,0.421053,0.000713,0.000716,0.00075
575,ENST00000572453.1,0.558624,0.580771,0.549505,0.545597,0.0011,0.00113,0.001117
576,ENST00000415124.1,0.528409,0.536932,0.502841,0.545455,0.001582,0.00169,0.002045
577,ENST00000417897.1,0.531773,0.511706,0.571906,0.511706,0.003657,0.00398,0.004707
578,ENST00000573187.1,0.664212,0.693667,0.667158,0.631811,0.002719,0.002597,0.002628
579,ENST00000602597.1,0.467359,0.534125,0.462908,0.405045,0.012307,0.011863,0.01186
580,ENST00000602743.1,0.5625,0.588542,0.567708,0.53125,0.002367,0.002202,0.002159
581,ENST00000623598.1,0.355243,0.336463,0.364632,0.364632,0.00081,0.000779,0.000794
582,ENST00000379640.1,0.41561,0.427285,0.416278,0.403269,0.000424,0.000404,0.000403
583,ENST00000573866.2,0.562009,0.536892,0.588697,0.56044,0.002087,0.001889,0.002106
584,ENST00000602353.1,0.384728,0.405286,0.343612,0.405286,0.003816,0.003915,0.004275
