,Seqname,SLDLD: Structural logarithm distance to lncRNA of acguD,SLDPD: Structural logarithm distance to pcRNA of acguD,SLDRD: Structural logarithm distance acguD ratio,SLDLN: Structural logarithm distance to lncRNA of acguACGU,SLDPN: Structural logarithm distance to pcRNA of acguACGU,SLDRN: Structural logarithm distance acguACGU ratio,SDMFE: Secondary structural minimum free energy,SFPUS: Secondary structural UP frequency paired-unpaired,nMFE
219,ENST00000584597.1,-0.282526,-0.303198,0.93182,-0.28155,-0.282206,0.997676,-173.7,0.123878,-0.31129
220,ENST00000582564.1,-0.032361,-0.041239,0.784723,-0.049903,-0.050287,0.992366,-716.3,0.111599,-0.314756
221,ENST00000577270.1,-0.029213,-0.035047,0.833551,-0.03849,-0.039565,0.972843,-908.4,0.109097,-0.288967
222,ENST00000579201.1,-0.319366,-0.320624,0.996077,-0.256487,-0.248277,1.033068,-167,0.123077,-0.284983
223,ENST00000579125.1,-0.108402,-0.135841,0.798006,-0.08781,-0.097822,0.897652,-602.4,0.1306,-0.457056
224,ENST00000580948.1,-0.475657,-0.499522,0.952226,-0.338871,-0.345666,0.98034,-172.3,0.130802,-0.362737
225,ENST00000591956.1,-0.288931,-0.309863,0.932447,-0.263743,-0.263136,1.002307,-166,0.118919,-0.298561
226,ENST00000587743.1,0.003752,-0.004824,-0.777822,-0.038837,-0.040206,0.965943,-1074.6,0.103604,-0.403227
227,ENST00000565256.1,-0.103373,-0.122937,0.840864,-0.101122,-0.104792,0.964974,-443.8,0.114355,-0.359643
228,ENST00000572151.1,-0.330546,-0.372043,0.888461,-0.292805,-0.306039,0.956756,-202.7,0.126761,-0.356239
229,ENST00000573394.1,-0.315763,-0.361553,0.873354,-0.299019,-0.309608,0.965798,-170.7,0.12476,-0.327011
230,ENST00000577000.1,-0.585672,-0.615378,0.951727,-0.436872,-0.442013,0.98837,-175.6,0.117391,-0.380911
231,ENST00000582866.1,-0.032945,-0.039629,0.831345,-0.044327,-0.044258,1.001557,-774.4,0.10705,-0.28818
232,ENST00000570869.1,-0.32558,-0.333997,0.974797,-0.27239,-0.268652,1.013912,-175.6,0.116358,-0.295623
233,ENST00000583253.1,-0.147985,-0.143237,1.033149,-0.170796,-0.162564,1.050639,-232.5,0.094466,-0.22164
234,ENST00000581613.1,-0.31759,-0.3007,1.056169,-0.28007,-0.262956,1.065083,-121.2,0.111304,-0.210417
235,ENST00000583558.1,-0.354306,-0.360848,0.981869,-0.23927,-0.240224,0.996028,-153.6,0.131092,-0.257718
236,ENST00000579580.1,-0.142141,-0.167955,0.846303,-0.129881,-0.13746,0.944858,-258.4,0.127108,-0.334715
237,ENST00000586922.2,-0.021931,-0.024701,0.887854,-0.027599,-0.027408,1.006958,-1501.1,0.105227,-0.34256
238,ENST00000596923.1,-0.350501,-0.352276,0.994961,-0.292783,-0.285191,1.026619,-170.1,0.110224,-0.271292
239,ENST00000599934.1,-0.406657,-0.415222,0.979372,-0.26333,-0.264916,0.994014,-139.1,0.117117,-0.25018
240,ENST00000589440.1,-0.386377,-0.428099,0.902541,-0.333216,-0.337075,0.98855,-185.6,0.096712,-0.358301
241,ENST00000588803.1,-0.438246,-0.447627,0.979043,-0.323145,-0.3217,1.004492,-127.2,0.112016,-0.258537
242,ENST00000587933.1,-0.134326,-0.141031,0.952453,-0.122153,-0.122178,0.999795,-382.3,0.11,-0.34723
243,ENST00000585279.1,-0.223065,-0.218356,1.021561,-0.206212,-0.198831,1.037118,-177.5,0.115232,-0.234788
244,ENST00000577806.1,-0.13329,-0.149212,0.893292,-0.142232,-0.144044,0.987424,-287.8,0.115789,-0.302629
245,ENST00000581192.1,-0.448572,-0.50483,0.888561,-0.376002,-0.40477,0.928928,-163.2,0.130332,-0.385816
246,ENST00000575722.1,-0.08055,-0.108711,0.740955,-0.094653,-0.103963,0.910452,-485.4,0.106773,-0.386465
247,ENST00000573860.1,-0.443619,-0.506623,0.875639,-0.383698,-0.405648,0.945889,-203.5,0.125592,-0.481087
248,ENST00000589360.1,-0.454106,-0.498589,0.910782,-0.359092,-0.377942,0.950124,-275.1,0.125887,-0.486903
249,ENST00000600056.1,-0.286971,-0.316885,0.9056,-0.266401,-0.271938,0.979639,-318.7,0.108346,-0.465936
250,ENST00000588798.1,-0.400892,-0.444906,0.901072,-0.338757,-0.355306,0.953424,-237.2,0.137291,-0.435926
251,ENST00000592671.1,-0.670299,-0.672198,0.997175,-0.594199,-0.584123,1.01725,-105.6,0.117978,-0.295798
252,ENST00000549131.1,-0.309654,-0.34106,0.907915,-0.321969,-0.333431,0.965623,-216.3,0.129159,-0.422461
253,ENST00000590274.1,-0.25295,-0.252618,1.001315,-0.247548,-0.240276,1.030265,-174.8,0.126645,-0.287028
254,ENST00000586816.1,-0.899329,-0.908143,0.990294,-0.630375,-0.62751,1.004566,-70.6,0.118033,-0.230719
255,ENST00000586885.1,-0.031278,-0.039477,0.792312,-0.035483,-0.036801,0.964189,-787.2,0.113163,-0.309191
256,ENST00000594557.1,-0.018135,-0.020061,0.903976,-0.027393,-0.027106,1.010583,-1405.9,0.097675,-0.299765
257,ENST00000593653.1,-0.418688,-0.418113,1.001375,-0.318118,-0.306025,1.039517,-159,0.108108,-0.285971
258,ENST00000598922.1,-0.275903,-0.294681,0.936277,-0.228023,-0.233276,0.977481,-174.6,0.1331,-0.305245
259,ENST00000594230.1,-0.090075,-0.084806,1.062135,-0.105047,-0.098533,1.066107,-320.3,0.103402,-0.213533
260,ENST00000586954.1,-0.054513,-0.062257,0.875618,-0.066588,-0.066739,0.997731,-621.5,0.103862,-0.275732
261,ENST00000586784.1,-0.374865,-0.381692,0.982113,-0.284313,-0.276375,1.028723,-185.3,0.109924,-0.281707
262,ENST00000590628.1,-0.072858,-0.094002,0.77507,-0.064933,-0.071366,0.909862,-497.09,0.125187,-0.371753
263,ENST00000588318.1,-0.571419,-0.596145,0.958524,-0.392822,-0.398782,0.985055,-143.9,0.12529,-0.333102
264,ENST00000588784.1,-0.023734,-0.034437,0.689211,-0.033338,-0.035602,0.936416,-983.8,0.125417,-0.409746
265,ENST00000592716.1,-0.409947,-0.415852,0.985801,-0.324203,-0.317319,1.021695,-195.1,0.123909,-0.339895
266,ENST00000604333.1,-0.258181,-0.252875,1.020983,-0.235765,-0.224996,1.04786,-182,0.123397,-0.2912
267,ENST00000588286.1,-0.017695,-0.025468,0.694792,-0.016629,-0.018865,0.881446,-1549.8,0.123018,-0.396267
268,ENST00000473572.2,-0.145823,-0.17312,0.842325,-0.133968,-0.142367,0.941,-501.1,0.120461,-0.442655
269,ENST00000587278.1,-0.351352,-0.348765,1.007419,-0.282214,-0.273508,1.031834,-166.6,0.107362,-0.25513
270,ENST00000587060.1,-0.314875,-0.328991,0.957092,-0.222119,-0.218207,1.017928,-195,0.115097,-0.291045
271,ENST00000588040.1,-0.0986,-0.095945,1.027673,-0.131122,-0.124374,1.054259,-307.3,0.099338,-0.225956
272,ENST00000594299.1,-0.094676,-0.104805,0.903354,-0.082976,-0.082459,1.006277,-627.6,0.104817,-0.332063
273,ENST00000595395.1,-0.405087,-0.397458,1.019195,-0.307916,-0.29117,1.057514,-139.6,0.103679,-0.233055
274,ENST00000587128.1,-0.042221,-0.043774,0.96454,-0.053967,-0.053482,1.009058,-565.3,0.11542,-0.257775
275,ENST00000590369.1,-0.56237,-0.552769,1.017369,-0.466281,-0.454582,1.025736,-105.7,0.113475,-0.249292
276,ENST00000588655.1,-0.318797,-0.335351,0.950637,-0.266409,-0.269798,0.987437,-186.2,0.120419,-0.32439
277,ENST00000598754.1,-0.591361,-0.611006,0.967849,-0.447611,-0.446863,1.001674,-154.4,0.121535,-0.328511
278,ENST00000601263.1,-0.637991,-0.664675,0.959854,-0.462963,-0.4666,0.992206,-138.5,0.11236,-0.310538
279,ENST00000595673.1,-0.996586,-1.012667,0.98412,-0.71953,-0.718581,1.00132,-86.4,0.108911,-0.284211
280,ENST00000602172.1,-0.021943,-0.024802,0.884711,-0.065016,-0.064449,1.008798,-691.4,0.109756,-0.351143
281,ENST00000596521.1,-0.036155,-0.049521,0.730094,-0.047219,-0.049797,0.948242,-657.4,0.112349,-0.305058
282,ENST00000600068.1,-0.536423,-0.542346,0.989078,-0.390531,-0.384075,1.016809,-159.5,0.108696,-0.288427
283,ENST00000600047.1,-0.0868,-0.087948,0.986945,-0.102676,-0.099929,1.027498,-355.9,0.099711,-0.256968
284,ENST00000593427.1,-0.013188,-0.014681,0.898302,-0.031738,-0.031568,1.005409,-1234.9,0.108292,-0.290019
285,ENST00000595422.1,-0.355589,-0.386357,0.920365,-0.292035,-0.296576,0.984688,-163.9,0.1171,-0.304082
286,ENST00000594562.1,-0.441566,-0.458169,0.963761,-0.338251,-0.33796,1.000861,-158.1,0.111328,-0.308187
287,ENST00000595302.1,-0.053575,-0.065499,0.817953,-0.054475,-0.057381,0.949363,-855.9,0.117426,-0.401831
288,ENST00000597309.1,-0.547693,-0.540321,1.013642,-0.451014,-0.436177,1.034016,-108.5,0.120853,-0.256501
289,ENST00000597980.1,-0.278832,-0.321128,0.868288,-0.276095,-0.288212,0.95796,-221.8,0.119508,-0.389123
290,ENST00000423704.1,-0.325255,-0.327475,0.99322,-0.277239,-0.276813,1.001539,-177.2,0.118353,-0.303425
291,ENST00000438482.1,-0.158502,-0.178559,0.887673,-0.14423,-0.144434,0.998587,-318.5,0.122673,-0.348468
292,ENST00000602458.1,-0.018832,-0.02179,0.864236,-0.036625,-0.036193,1.011942,-1002.8,0.103715,-0.310368
293,ENST00000594472.1,-0.116124,-0.11074,1.048619,-0.134843,-0.126834,1.063153,-296.5,0.104202,-0.24895
294,ENST00000420644.1,-0.362589,-0.352008,1.030059,-0.298002,-0.28428,1.048268,-146,0.111524,-0.270872
295,ENST00000443038.1,-0.403875,-0.441068,0.915675,-0.301646,-0.318358,0.947507,-178.1,0.126679,-0.341188
296,ENST00000366187.2,-0.240407,-0.26713,0.899962,-0.234768,-0.245144,0.957675,-193.3,0.130268,-0.369598
297,ENST00000415640.1,-0.567091,-0.583906,0.971203,-0.3791,-0.38751,0.978297,-130.8,0.140044,-0.28559
298,ENST00000440698.1,-0.021344,-0.025928,0.823194,-0.028864,-0.02972,0.971202,-985.6,0.10386,-0.250216
299,ENST00000412297.1,-0.737528,-0.773662,0.953294,-0.426608,-0.437084,0.976032,-119.6,0.116456,-0.30202
300,ENST00000601494.1,-0.139309,-0.136376,1.021506,-0.174911,-0.166231,1.052216,-237.5,0.120048,-0.284772
301,ENST00000602091.1,-0.100098,-0.099577,1.005227,-0.122599,-0.116856,1.049143,-306.7,0.11691,-0.319812
302,ENST00000601395.1,-0.27921,-0.285553,0.977788,-0.237941,-0.236422,1.006424,-178.7,0.117455,-0.291042
303,ENST00000447639.1,-0.251743,-0.258636,0.973347,-0.194201,-0.193566,1.00328,-301.9,0.100849,-0.320148
304,ENST00000422761.1,-0.148465,-0.167413,0.886817,-0.152931,-0.155823,0.981442,-385.4,0.10461,-0.340833
305,ENST00000548978.2,-0.061413,-0.078533,0.782011,-0.062062,-0.066793,0.929169,-756.6,0.116694,-0.408531
306,ENST00000604845.1,-0.066016,-0.065949,1.001014,-0.077321,-0.074217,1.041821,-456.1,0.108247,-0.261076
307,ENST00000604219.1,-0.505446,-0.486403,1.039151,-0.438085,-0.419995,1.04307,-104,0.092473,-0.223176
308,ENST00000445178.1,-0.185202,-0.177255,1.044834,-0.170379,-0.15859,1.074336,-199.2,0.102102,-0.1992
309,ENST00000446816.1,-0.09467,-0.110505,0.856696,-0.074291,-0.078591,0.945282,-637.8,0.12844,-0.417682
310,ENST00000603748.1,-0.109029,-0.109581,0.994965,-0.105638,-0.10048,1.051335,-376.4,0.101283,-0.253981
311,ENST00000439494.1,-0.305693,-0.317427,0.963036,-0.23612,-0.234374,1.00745,-197.5,0.107649,-0.279349
312,ENST00000594898.1,-0.553349,-0.556324,0.994652,-0.353008,-0.342959,1.029302,-124.2,0.108434,-0.248898
313,ENST00000443132.1,-0.425097,-0.419887,1.012409,-0.32565,-0.313378,1.039159,-133.9,0.094877,-0.253598
314,ENST00000447413.1,-0.086178,-0.094864,0.908432,-0.112362,-0.111743,1.005546,-326.2,0.107536,-0.275973
315,ENST00000592161.1,-0.331343,-0.339087,0.97716,-0.255472,-0.254747,1.002844,-181.2,0.116041,-0.308688
316,ENST00000587576.1,-0.728819,-0.722185,1.009186,-0.477463,-0.457695,1.043188,-92.1,0.115578,-0.230827
317,ENST00000604571.1,-0.321355,-0.333082,0.964793,-0.274953,-0.269905,1.018705,-178.7,0.117747,-0.304429
318,ENST00000589355.1,-0.457485,-0.467375,0.978841,-0.343234,-0.346596,0.990299,-151.2,0.114688,-0.303614
319,ENST00000604692.1,-0.187728,-0.192703,0.974188,-0.214584,-0.211358,1.015264,-171.4,0.105341,-0.253926
320,ENST00000590743.1,-0.190084,-0.1999,0.950895,-0.171615,-0.167577,1.024093,-256.4,0.108508,-0.315764
321,ENST00000589830.1,-0.806604,-0.812438,0.992819,-0.736697,-0.72337,1.018423,-78,0.125874,-0.271777
322,ENST00000604956.1,-0.075061,-0.076122,0.986068,-0.102308,-0.097391,1.050479,-310.8,0.118469,-0.228529
323,ENST00000418062.1,-0.509538,-0.50314,1.012717,-0.38324,-0.372366,1.029204,-123.9,0.106814,-0.227757
324,ENST00000578746.1,-0.192392,-0.194774,0.987771,-0.194221,-0.184798,1.050993,-192.4,0.122781,-0.284195
325,ENST00000584485.1,-0.210538,-0.210056,1.002294,-0.209949,-0.20162,1.041314,-181.7,0.096774,-0.216826
326,ENST00000582038.2,-0.057493,-0.056982,1.008967,-0.067811,-0.064352,1.05375,-465.7,0.108951,-0.238088
327,ENST00000413911.1,-0.184277,-0.223329,0.825138,-0.158934,-0.176886,0.898508,-458.7,0.135076,-0.49913
328,ENST00000428777.1,-0.236313,-0.237425,0.995316,-0.227175,-0.221515,1.025552,-188.6,0.12844,-0.287939
329,ENST00000452057.1,-0.027315,-0.027351,0.998689,-0.053345,-0.049846,1.070205,-556.4,0.116015,-0.253024
330,ENST00000441749.1,-0.423827,-0.465906,0.909684,-0.399395,-0.416566,0.958779,-192.8,0.118998,-0.401667
331,ENST00000425481.1,-0.456704,-0.471919,0.967759,-0.379887,-0.374015,1.015702,-185.74,0.106061,-0.351115
332,ENST00000567819.1,-0.01828,-0.025731,0.710428,-0.020049,-0.022376,0.896024,-1586.8,0.113278,-0.3967
333,ENST00000416204.1,-0.312661,-0.320536,0.975433,-0.243549,-0.241753,1.007432,-196.5,0.122241,-0.333051
334,ENST00000412497.1,-0.554699,-0.564742,0.982218,-0.418264,-0.414583,1.008879,-131.5,0.093946,-0.273958
335,ENST00000419666.2,-0.414386,-0.399222,1.037982,-0.351453,-0.339315,1.03577,-98.1,0.098266,-0.188654
336,ENST00000421829.1,-0.544335,-0.549932,0.989823,-0.418361,-0.405655,1.031321,-151.9,0.120833,-0.3158
337,ENST00000595300.1,-0.444973,-0.435769,1.02112,-0.321092,-0.309349,1.037959,-123.2,0.096618,-0.198071
338,ENST00000596537.1,-0.335346,-0.32556,1.030061,-0.280819,-0.269776,1.040934,-144.9,0.097561,-0.220548
339,ENST00000593517.1,-0.238394,-0.227548,1.047662,-0.24261,-0.228177,1.063252,-148.6,0.101138,-0.187626
340,ENST00000512005.1,-0.521913,-0.527227,0.989921,-0.383956,-0.379454,1.011864,-135.4,0.127883,-0.283264
341,ENST00000598163.1,-0.381584,-0.407357,0.93673,-0.29521,-0.305773,0.965454,-211.3,0.111517,-0.385584
342,ENST00000601795.1,-0.104502,-0.115872,0.901869,-0.097789,-0.099007,0.987694,-370.3,0.121528,-0.321162
343,ENST00000565959.1,-0.073304,-0.079222,0.925296,-0.067512,-0.067207,1.004548,-484.5,0.109489,-0.271886
344,ENST00000601471.1,-0.332942,-0.348763,0.954638,-0.239328,-0.248069,0.964762,-182.1,0.134078,-0.338476
345,ENST00000600155.1,-0.130296,-0.140639,0.926453,-0.115867,-0.116983,0.990458,-384.1,0.112014,-0.346661
346,ENST00000427022.1,-0.240474,-0.244478,0.983625,-0.207034,-0.202428,1.022756,-245.8,0.120647,-0.304224
347,ENST00000432411.1,-0.531797,-0.560152,0.94938,-0.408971,-0.422122,0.968846,-149.1,0.109865,-0.333557
348,ENST00000448927.1,-0.03002,-0.037929,0.791464,-0.027284,-0.029498,0.924957,-1915.9,0.124742,-0.439963
349,ENST00000588753.1,-0.315722,-0.349831,0.9025,-0.318656,-0.331637,0.960858,-209,0.132653,-0.354839
350,ENST00000444966.1,-0.774478,-0.794835,0.974389,-0.493872,-0.486598,1.01495,-104.9,0.105398,-0.268974
351,ENST00000447037.1,-0.296331,-0.291238,1.017486,-0.220681,-0.211465,1.043582,-170.6,0.110949,-0.248688
352,ENST00000430259.1,-0.035666,-0.041114,0.8675,-0.07108,-0.069596,1.021318,-728.8,0.102832,-0.361867
353,ENST00000458623.1,-0.663668,-0.673632,0.98521,-0.48645,-0.473563,1.027213,-136,0.109223,-0.329298
354,ENST00000476405.1,-0.018985,-0.02585,0.734431,-0.01933,-0.021545,0.897201,-1714.7,0.116247,-0.396188
355,ENST00000436079.1,-0.044108,-0.064328,0.685678,-0.056024,-0.060409,0.927403,-655.9,0.123909,-0.381337
356,ENST00000429962.1,-0.056086,-0.084513,0.663634,-0.068338,-0.07658,0.892383,-523.4,0.12916,-0.413777
357,ENST00000444093.1,-0.395581,-0.414493,0.954374,-0.314229,-0.318094,0.987848,-203.3,0.116697,-0.364337
358,ENST00000431924.2,-0.180157,-0.195319,0.92237,-0.163792,-0.163316,1.002919,-237.5,0.115924,-0.302163
359,ENST00000444381.1,-0.100068,-0.108125,0.925488,-0.10643,-0.107416,0.990821,-392.7,0.10423,-0.296377
360,ENST00000412067.1,-0.291288,-0.295235,0.986633,-0.220289,-0.215911,1.02028,-213.8,0.116689,-0.289702
361,ENST00000602478.1,-0.220938,-0.246538,0.896161,-0.184051,-0.190616,0.965562,-208.9,0.113122,-0.314608
362,ENST00000450920.1,-0.14722,-0.156109,0.943057,-0.133557,-0.132448,1.008375,-355.5,0.10101,-0.298991
363,ENST00000523354.1,-0.457007,-0.451402,1.012417,-0.405549,-0.388857,1.042928,-106.6,0.113537,-0.232244
364,ENST00000489616.1,-0.179109,-0.184695,0.969755,-0.246113,-0.248532,0.990267,-163.9,0.113402,-0.281132
365,ENST00000469846.2,-0.230893,-0.245621,0.94004,-0.212699,-0.211419,1.006056,-224.1,0.13154,-0.334478
366,ENST00000475197.1,-0.109906,-0.118969,0.923817,-0.115095,-0.114378,1.006272,-412.8,0.106255,-0.310617
367,ENST00000462717.1,-0.583889,-0.617595,0.945425,-0.413333,-0.419123,0.986185,-128.9,0.115909,-0.29229
368,ENST00000460754.1,-0.03183,-0.035667,0.892444,-0.044838,-0.043857,1.02237,-734.1,0.112627,-0.285976
369,ENST00000511998.1,-0.186308,-0.220991,0.843059,-0.161622,-0.176592,0.91523,-433.1,0.117904,-0.472301
370,ENST00000433902.2,-0.471072,-0.514327,0.9159,-0.335431,-0.350432,0.957195,-158.9,0.125773,-0.326955
371,ENST00000502789.2,-0.20257,-0.22919,0.883853,-0.163425,-0.171966,0.950331,-341.9,0.119435,-0.370824
372,ENST00000487580.1,-0.385681,-0.389095,0.991225,-0.338688,-0.326138,1.038483,-123.7,0.122244,-0.2474
373,ENST00000483289.2,-0.006235,-0.008655,0.720424,-0.014155,-0.014968,0.945698,-1857.9,0.10864,-0.297216
374,ENST00000600502.1,-0.144387,-0.141821,1.018092,-0.119309,-0.112029,1.064978,-284.5,0.121764,-0.27251
375,ENST00000469301.1,-0.058611,-0.066065,0.887174,-0.05204,-0.052961,0.982601,-522.6,0.116868,-0.30069
376,ENST00000420226.1,-0.756842,-0.779664,0.970729,-0.518882,-0.520968,0.995996,-86.5,0.130841,-0.268634
377,ENST00000452051.1,-0.084068,-0.096872,0.86782,-0.083441,-0.085592,0.97487,-685.8,0.102298,-0.374959
378,ENST00000444939.1,-0.51679,-0.545199,0.947892,-0.425038,-0.436905,0.972838,-151.9,0.112311,-0.327371
379,ENST00000424769.1,-0.922037,-0.941823,0.978992,-0.548326,-0.555621,0.986872,-90.6,0.104225,-0.254494
380,ENST00000415244.1,-0.200881,-0.230389,0.871921,-0.155104,-0.162555,0.954162,-367.7,0.122105,-0.386646
381,ENST00000417557.1,-0.03675,-0.044994,0.816783,-0.053192,-0.054108,0.983062,-816.62,0.108133,-0.377192
382,ENST00000578730.1,-0.020761,-0.032923,0.630589,-0.024517,-0.027853,0.880223,-1106.7,0.132075,-0.401415
383,ENST00000581398.1,-0.011806,-0.016861,0.700185,-0.015318,-0.016416,0.933083,-1778.58,0.113785,-0.314682
384,ENST00000505364.1,-0.044886,-0.050662,0.885993,-0.060667,-0.061309,0.989523,-881.7,0.109001,-0.363888
385,ENST00000504748.1,-0.402157,-0.443937,0.905889,-0.321531,-0.341241,0.94224,-233.4,0.123574,-0.442884
386,ENST00000562049.1,-0.040716,-0.040843,0.996893,-0.047333,-0.045208,1.04701,-575.8,0.108502,-0.233023
387,ENST00000563286.1,-0.016312,-0.017006,0.959218,-0.030732,-0.029599,1.038274,-1119.6,0.105762,-0.265197
388,ENST00000509007.1,-0.295939,-0.318398,0.929465,-0.28937,-0.28747,1.006609,-164.9,0.107965,-0.291343
389,ENST00000504869.1,-0.299725,-0.324669,0.92317,-0.24612,-0.253328,0.971547,-150.8,0.127341,-0.281869
390,ENST00000503704.1,-0.285188,-0.300398,0.949365,-0.259851,-0.260819,0.996288,-200.2,0.09434,-0.314286
391,ENST00000509723.1,-0.328614,-0.323642,1.015361,-0.273599,-0.262497,1.042295,-124.2,0.1337,-0.227057
392,ENST00000513220.1,-0.030538,-0.031357,0.973877,-0.03374,-0.032694,1.031996,-956.1,0.10695,-0.271044
393,ENST00000508266.1,-0.316501,-0.331462,0.954861,-0.288261,-0.290152,0.993483,-185.5,0.112903,-0.331843
394,ENST00000507799.1,-0.540633,-0.594606,0.909229,-0.42625,-0.453819,0.939251,-204.3,0.148472,-0.445098
395,ENST00000506314.1,-0.022233,-0.028672,0.775435,-0.023206,-0.024678,0.94034,-1061.9,0.113724,-0.316042
396,ENST00000508286.1,-0.581016,-0.579714,1.002245,-0.452818,-0.43865,1.032299,-122.2,0.115124,-0.275225
397,ENST00000562919.1,-0.022747,-0.028546,0.796856,-0.064011,-0.062589,1.022714,-500.2,0.109091,-0.245678
398,ENST00000510655.1,-0.361881,-0.35208,1.02784,-0.288725,-0.273715,1.054837,-124.9,0.095462,-0.195156
399,ENST00000509938.1,-0.858983,-0.846272,1.015019,-0.645316,-0.618392,1.04354,-70,0.093023,-0.202899
400,ENST00000507826.1,-0.390474,-0.433901,0.899916,-0.301967,-0.311028,0.970867,-192.8,0.102076,-0.332988
401,ENST00000507486.1,-0.166758,-0.192032,0.868386,-0.144659,-0.151221,0.956602,-244.8,0.12533,-0.321344
402,ENST00000603472.1,-0.160026,-0.154139,1.038193,-0.147271,-0.139343,1.056893,-249.2,0.110612,-0.223899
403,ENST00000569449.1,-0.044688,-0.043584,1.025333,-0.051651,-0.048443,1.066221,-599.9,0.10482,-0.229407
404,ENST00000562632.1,-0.108976,-0.103331,1.054639,-0.106753,-0.10119,1.054974,-315,0.097884,-0.208196
405,ENST00000510740.1,-0.564007,-0.559736,1.00763,-0.432611,-0.418301,1.03421,-111.9,0.12369,-0.2341
406,ENST00000508745.1,-0.358414,-0.365941,0.979429,-0.276263,-0.27115,1.01886,-188.9,0.115646,-0.320713
407,ENST00000508123.1,-0.449203,-0.441517,1.017409,-0.370038,-0.352929,1.048478,-106.9,0.103327,-0.186888
408,ENST00000505401.1,-0.238358,-0.22972,1.037602,-0.223952,-0.209587,1.068538,-159.9,0.111433,-0.231069
409,ENST00000505637.1,-1.848671,-1.848575,1.000052,-1.226379,-1.205123,1.017638,-46,0.09589,-0.209091
410,ENST00000513406.1,-0.275677,-0.285993,0.963931,-0.242096,-0.239994,1.00876,-226.4,0.123596,-0.317532
411,ENST00000508401.1,-0.369771,-0.386351,0.957084,-0.257709,-0.259907,0.991545,-189.7,0.139415,-0.325945
412,ENST00000515356.2,-0.043305,-0.046475,0.93179,-0.052979,-0.051518,1.028362,-546.9,0.121349,-0.275239
413,ENST00000511495.1,-0.310665,-0.327416,0.948838,-0.24394,-0.250357,0.974371,-188.5,0.125,-0.322222
414,ENST00000512287.1,-0.305234,-0.332742,0.917328,-0.223418,-0.230358,0.969876,-187.5,0.136667,-0.31198
415,ENST00000502041.2,-0.028159,-0.037026,0.760531,-0.051899,-0.053033,0.978607,-648,0.108801,-0.313195
416,ENST00000505668.1,-0.035766,-0.036971,0.967396,-0.041827,-0.041526,1.007234,-767.7,0.100444,-0.243174
417,ENST00000506485.1,-0.412406,-0.45946,0.897589,-0.27068,-0.289593,0.934693,-236.9,0.12611,-0.420035
418,ENST00000515570.1,-0.258771,-0.249024,1.039141,-0.226725,-0.211818,1.070378,-157.3,0.106021,-0.205621
419,ENST00000453876.1,-0.3694,-0.384708,0.960209,-0.313836,-0.315439,0.994921,-203.5,0.102389,-0.346678
420,ENST00000508713.1,-0.036349,-0.039763,0.914139,-0.040928,-0.040567,1.008891,-829.7,0.103505,-0.274281
421,ENST00000499521.2,-0.009391,-0.010618,0.884473,-0.015113,-0.015358,0.984036,-2248,0.102837,-0.260201
422,ENST00000451355.2,-0.073031,-0.07809,0.935217,-0.069791,-0.065602,1.063857,-520.8,0.114627,-0.31074
423,ENST00000434086.1,-0.309779,-0.316687,0.978187,-0.274734,-0.270913,1.014103,-196.8,0.134058,-0.355877
424,ENST00000602319.1,-0.031181,-0.032438,0.961255,-0.039651,-0.039107,1.013902,-927.1,0.107154,-0.277409
425,ENST00000602516.1,-0.036057,-0.038408,0.938791,-0.045173,-0.045112,1.001343,-921.74,0.10938,-0.318941
426,ENST00000602498.1,-0.930467,-0.932696,0.99761,-0.682805,-0.670148,1.018887,-98.6,0.104294,-0.301529
427,ENST00000420819.2,-0.855184,-0.857446,0.997362,-0.605735,-0.593072,1.021352,-84.9,0.105128,-0.217136
428,ENST00000562834.1,-0.07807,-0.077523,1.007058,-0.084249,-0.079536,1.059248,-440.4,0.101449,-0.227832
429,ENST00000584934.1,-0.057144,-0.07243,0.78895,-0.069225,-0.072197,0.958838,-405.3,0.109765,-0.288675
430,ENST00000602823.1,-0.272501,-0.277345,0.982534,-0.237451,-0.228978,1.037005,-195.3,0.112175,-0.266803
431,ENST00000590213.1,-0.422838,-0.421503,1.003169,-0.303235,-0.293022,1.034854,-161.5,0.08855,-0.246189
432,ENST00000442007.1,-0.13176,-0.152979,0.861294,-0.137857,-0.143365,0.961579,-389,0.121996,-0.359187
433,ENST00000441363.1,-0.048076,-0.059362,0.809882,-0.04715,-0.050928,0.925824,-819.3,0.110325,-0.340949
434,ENST00000563105.1,-0.145519,-0.170109,0.855446,-0.169226,-0.170353,0.993384,-273.3,0.112514,-0.313417
435,ENST00000531702.1,-0.036868,-0.03696,0.997508,-0.044647,-0.043084,1.036275,-648.7,0.117355,-0.267947
436,ENST00000435295.1,-0.034112,-0.038686,0.881772,-0.035383,-0.035358,1.000704,-867.1,0.105604,-0.280797
437,ENST00000422230.1,-0.379056,-0.403125,0.940293,-0.28246,-0.293493,0.962407,-184.9,0.102941,-0.339266
438,ENST00000413706.1,-0.253174,-0.265736,0.952726,-0.213117,-0.210796,1.011012,-197.6,0.124814,-0.293175
439,ENST00000442176.1,-0.307624,-0.310616,0.990367,-0.232527,-0.2235,1.040391,-202.1,0.114943,-0.289957
440,ENST00000424516.1,-0.263829,-0.266944,0.988331,-0.235708,-0.23438,1.005667,-157,0.110014,-0.221127
